country,mode_year,missing_year_count,imputed_news_neighbor_count,unmatched_images_count,imputed_by_numeric_nearest_count,imputed_by_mode_year_count,cy_rows_post2000,cy_years_post2000,people_total_post2000,images_people_post2000,has_any_people_post2000,vdem_match_rate_post2000,has_any_vdem_post2000
FIN,2021.0,0,0,0,0,0,6.0,6.0,8564.0,2423.0,True,1.0,True
FJI,2013.0,128,128,0,0,0,13.0,13.0,121029.0,17655.0,True,1.0,True
FRA,2018.0,0,0,0,0,0,10.0,10.0,1839.0,483.0,True,1.0,True
FRA,2020.0,9,9,0,0,0,10.0,10.0,1839.0,483.0,True,1.0,True
GAB,2023.0,0,0,0,0,0,5.0,5.0,1423.0,218.0,True,1.0,True
GBR,2011.0,7,7,0,0,0,19.0,19.0,43603.0,9270.0,True,1.0,True
GEO,2016.0,1431,1431,0,0,0,12.0,12.0,65697.0,10396.0,True,1.0,True
GEO,2016.0,40,40,0,0,0,12.0,12.0,65697.0,10396.0,True,1.0,True
GEO,2022.0,0,0,0,0,0,12.0,12.0,65697.0,10396.0,True,1.0,True
GHA,2018.0,1,1,0,0,0,9.0,9.0,3731.0,521.0,True,1.0,True
GMB,2022.0,0,0,0,0,0,4.0,4.0,2102.0,348.0,True,1.0,True
GNQ,2019.0,0,0,0,0,0,6.0,6.0,117073.0,17192.0,True,1.0,True
GNQ,2020.0,10,10,0,0,0,6.0,6.0,117073.0,17192.0,True,1.0,True
GRC,2022.0,0,0,0,0,0,15.0,15.0,8014.0,2478.0,True,1.0,True
GRC,2013.0,0,0,0,0,0,15.0,15.0,8014.0,2478.0,True,1.0,True
GRC,2022.0,0,0,0,0,0,15.0,15.0,8014.0,2478.0,True,1.0,True
GTM,2022.0,0,0,0,0,0,7.0,7.0,97718.0,14889.0,True,1.0,True
GUY,2023.0,0,0,0,0,0,8.0,8.0,1052.0,223.0,True,1.0,True
HRV,2010.0,18,18,0,0,0,20.0,20.0,22375.0,3663.0,True,1.0,True
HRV,2015.0,0,0,0,0,0,20.0,20.0,22375.0,3663.0,True,1.0,True
HUN,2022.0,16,16,0,0,0,14.0,14.0,37665.0,7148.0,True,1.0,True
HUN,2013.0,1,1,0,0,0,14.0,14.0,37665.0,7148.0,True,1.0,True
HUN,2017.0,0,0,0,0,0,14.0,14.0,37665.0,7148.0,True,1.0,True
IDN,2021.0,0,0,0,0,0,11.0,11.0,90888.0,12191.0,True,1.0,True
IDN,2023.0,0,0,0,0,0,11.0,11.0,90888.0,12191.0,True,1.0,True
IND,2023.0,0,0,0,0,0,14.0,14.0,49126.0,6852.0,True,1.0,True
IND,2024.0,0,0,0,0,0,14.0,14.0,49126.0,6852.0,True,1.0,True
IRL,2023.0,1,1,0,0,0,1.0,1.0,12.0,5.0,True,1.0,True
IRL,2024.0,1,1,0,0,0,1.0,1.0,12.0,5.0,True,1.0,True
IRN,2022.0,21,21,0,0,0,12.0,12.0,449115.0,63616.0,True,1.0,True
IRN,2022.0,0,0,0,0,0,12.0,12.0,449115.0,63616.0,True,1.0,True
IRQ,2020.0,0,0,0,0,0,6.0,6.0,33268.0,5968.0,True,1.0,True
ISL,2020.0,0,0,0,0,0,7.0,7.0,2691.0,439.0,True,1.0,True
ISR,2022.0,1,1,0,0,0,21.0,21.0,5757.0,1235.0,True,1.0,True
ITA,2023.0,0,0,0,0,0,11.0,11.0,3491.0,718.0,True,1.0,True
ITA,2020.0,0,0,0,0,0,11.0,11.0,3491.0,718.0,True,1.0,True
JAM,2017.0,0,0,0,0,0,9.0,9.0,4586.0,797.0,True,1.0,True
JAM,2018.0,0,0,0,0,0,9.0,9.0,4586.0,797.0,True,1.0,True
JOR,2023.0,15,15,0,0,0,4.0,4.0,683.0,126.0,True,1.0,True
JPN,2007.0,0,0,0,0,0,15.0,15.0,87348.0,10089.0,True,1.0,True
JPN,2024.0,32,32,0,0,0,15.0,15.0,87348.0,10089.0,True,1.0,True
JPN,2014.0,0,0,0,0,0,15.0,15.0,87348.0,10089.0,True,1.0,True
JPN,2023.0,0,0,0,0,0,15.0,15.0,87348.0,10089.0,True,1.0,True
KAZ,2017.0,0,0,0,0,0,13.0,13.0,51172.0,5693.0,True,1.0,True
KAZ,2022.0,0,0,0,0,0,13.0,13.0,51172.0,5693.0,True,1.0,True
KEN,2023.0,23,23,0,0,0,3.0,3.0,1765.0,158.0,True,1.0,True
KEN,2023.0,0,0,0,0,0,3.0,3.0,1765.0,158.0,True,1.0,True
KGZ,2021.0,0,0,0,0,0,7.0,7.0,315370.0,45941.0,True,1.0,True
KGZ,2021.0,0,0,0,0,0,7.0,7.0,315370.0,45941.0,True,1.0,True
KHM,2024.0,0,0,0,0,0,9.0,9.0,376933.0,39311.0,True,1.0,True
KHM,2022.0,0,0,0,0,0,9.0,9.0,376933.0,39311.0,True,1.0,True
KNA,2023.0,0,0,0,0,0,,,,,,,
KOR,2020.0,0,0,0,0,0,12.0,12.0,54891.0,8343.0,True,1.0,True
KOR,2018.0,0,0,0,0,0,12.0,12.0,54891.0,8343.0,True,1.0,True
KWT,2024.0,0,0,0,0,0,2.0,2.0,1735.0,289.0,True,1.0,True
LBR,2016.0,0,0,0,0,0,14.0,14.0,4336.0,1545.0,True,1.0,True
LKA,2021.0,0,0,0,0,0,8.0,8.0,489.0,81.0,True,1.0,True
LSO,2023.0,0,0,0,0,0,2.0,2.0,660.0,102.0,True,1.0,True
LTU,2021.0,0,0,0,0,0,5.0,5.0,2644.0,640.0,True,1.0,True
LUX,2024.0,0,0,0,0,0,7.0,7.0,10682.0,1319.0,True,1.0,True
LVA,2024.0,0,0,0,0,0,10.0,10.0,13534.0,2356.0,True,1.0,True
LVA,2016.0,1,1,0,0,0,10.0,10.0,13534.0,2356.0,True,1.0,True
MAR,2020.0,0,0,0,0,0,5.0,5.0,5980.0,2016.0,True,1.0,True
MDA,2018.0,5,5,0,0,0,11.0,11.0,147159.0,26278.0,True,1.0,True
