country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
BGR,2014,515,486,2688,385,3073,0.1252847380410023,0.10853874583658098
BGR,2015,299,293,1430,215,1645,0.13069908814589665,0.11529101629371671
BGR,2016,114,111,442,54,496,0.10887096774193548,0.07711729342164124
BGR,2017,590,555,2851,915,3766,0.242963356346256,0.26812385010347944
BGR,2018,1475,1431,7468,2567,10035,0.2558046836073742,0.28334981047118446
BGR,2019,401,359,1869,568,2437,0.23307345096430038,0.26298006623791526
BGR,2020,397,329,1101,323,1424,0.22682584269662923,0.25002167576767403
BGR,2021,553,442,1742,479,2221,0.21566861773975687,0.22398169789090414
BGR,2022,757,646,3075,1165,4240,0.27476415094339623,0.30505694940486344
BGR,2023,845,768,3597,1677,5274,0.3179749715585893,0.3654737222829017
BGR,2024,637,574,2911,1295,4206,0.3078934854969092,0.3365813952342448
BHR,2009,9,9,43,5,48,0.10416666666666667,0.051756885090218425
BHR,2010,12,12,40,11,51,0.21568627450980393,0.19424603174603175
BHR,2011,5,5,9,3,12,0.25,0.24
BHR,2012,221,221,806,141,947,0.14889123548046462,0.13983647071882366
BHR,2013,657,650,3129,709,3838,0.18473163105784263,0.18138191194770142
BHR,2014,1134,1117,6002,1162,7164,0.1621998883305416,0.16483577616245143
BHR,2015,1307,1304,6710,1334,8044,0.16583789159622078,0.17807393943477343
BHR,2016,1234,1225,6885,1592,8477,0.18780228854547598,0.19298724674890885
BHR,2017,1300,1290,6860,1519,8379,0.18128654970760233,0.17877107870911094
BHR,2018,1171,1159,6405,1736,8141,0.21324161650902837,0.2275019554393588
BHR,2019,1009,1005,5539,1593,7132,0.2233595064498037,0.2349549096098681
BHR,2020,876,857,4266,1200,5466,0.21953896816684962,0.21073708266601637
BHR,2021,1451,1425,4681,1939,6620,0.2929003021148036,0.28787436138841954
BHR,2022,1593,1586,7015,2443,9458,0.2582998519771622,0.24564340769035756
