country,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,v2x_polyarchy,v2x_gender
PAK,11,11,82,7,89,0.0786516853932584,0.0719696969696969,0.37832,0.5866
GEO,153,139,533,120,653,0.1837672281776416,0.1726009914349335,0.54896,0.8114
GMB,390,348,1636,466,2102,0.2216936251189343,0.2207388686507534,0.3474,0.6126400000000001
GTM,17205,14889,78549,19169,97718,0.1961665199860824,0.1964110421826919,0.57244,0.65032
KGZ,20728,19133,121739,20909,142648,0.1465775895911614,0.1207003121569643,0.37384,0.72548
GNQ,290,289,1894,289,2183,0.1323866239120476,0.127619015654705,0.1812,0.42156
ECU,1690,1506,8954,2182,11136,0.1959410919540229,0.1941814141620232,0.629,0.8175199999999999
CZE,899,863,4881,618,5499,0.1123840698308783,0.1061850879788702,0.8688800000000001,0.90504
PHL,14455,14012,112393,46516,158909,0.2927209912591483,0.290247905704984,0.49756,0.8220399999999999
TTO,1572,1401,5379,1114,6493,0.1715693824118281,0.1441836836659862,0.75788,0.87516
SYR,839,802,4684,264,4948,0.0533548908649959,0.0461557368431533,0.14372,0.38268
LKA,82,81,406,83,489,0.1697341513292433,0.1796722955492018,0.4946,0.65468
CHN,234,24,127,12,139,0.0863309352517985,0.054011093073593,0.08792,0.61968
NLD,488,387,1768,591,2359,0.2505298855447223,0.3158491545544481,0.8644799999999999,0.91536
HUN,74,33,156,45,201,0.2238805970149253,0.2988382475224581,0.68876,0.85804
ISR,1385,1235,5079,678,5757,0.1177696717040125,0.0859251812730683,0.7440399999999999,0.87152
IRN,2700,2658,11146,617,11763,0.052452605627816,0.0413577999329065,0.1812,0.32512
SUR,14340,11939,71531,18632,90163,0.2066479598061289,0.2175045767907608,0.7674,0.8456
XKX,636,588,3135,1352,4487,0.3013149097392467,0.3424787953665992,0.55168,0.691076923076923
AUT,397,383,2012,810,2822,0.2870304748405386,0.3086684535964631,0.8620399999999999,0.92748
GRC,823,812,2222,207,2429,0.0852202552490736,0.0602161539199716,0.86208,0.91788
GEO,10539,9480,54203,6384,60587,0.1053691385940878,0.0887363184356678,0.54896,0.8114
TKM,6800,5703,34854,4804,39658,0.1211357103232639,0.1241484335420748,0.1249599999999999,0.362
ARE,1,1,1,0,1,0.0,0.0,0.07232,0.40344
BLR,2140,2136,11077,1527,12604,0.1211520152332592,0.1096684608109771,0.2284,0.8146
MAR,2321,2016,5321,659,5980,0.110200668896321,0.0905204586183803,0.25724,0.6806
ALB,29,29,201,87,288,0.3020833333333333,0.279381690909689,0.51676,0.79996
NLD,846,641,2707,777,3484,0.2230195177956372,0.2513411490113794,0.8644799999999999,0.91536
TJK,154,149,906,156,1062,0.1468926553672316,0.1275889523515596,0.20764,0.45484
NPL,171,77,496,90,586,0.1535836177474402,0.1502594781209368,0.47952,0.69104
ITA,717,505,1508,756,2264,0.3339222614840989,0.6080997902005754,0.8529599999999999,0.91236
CHL,165,131,692,211,903,0.2336655592469546,0.290860338793598,0.87428,0.85836
SAU,29,29,170,20,190,0.1052631578947368,0.1015667761357416,0.01748,0.2137272727272727
LVA,2124,1856,8151,2777,10928,0.2541178623718887,0.2429156828095253,0.8222,0.93916
RWA,426,405,2087,295,2382,0.1238455079764903,0.112480538390598,0.19996,0.80096
BOL,7511,7084,39319,9469,48788,0.1940846109699106,0.1890851983862032,0.65108,0.73776
SRB,2208,2125,10551,2763,13314,0.2075259125732312,0.1865276050945712,0.4986,0.83776
UKR,29662,28755,141675,28765,170440,0.1687690682938277,0.1567301836612088,0.46548,0.83072
KAZ,5625,5498,43836,6122,49958,0.1225429360662956,0.1009629125237175,0.24568,0.76824
TGO,12,12,144,13,157,0.0828025477707006,0.1094279817190033,0.39356,0.72232
IRL,11,5,9,3,12,0.25,0.5,0.8930800000000001,0.8986
MDA,416,385,1377,322,1699,0.1895232489699823,0.1843541007596534,0.56524,0.85724
QAT,7734,7518,27128,5836,32964,0.1770416211624803,0.1765276204937594,0.04564,0.3128421052631578
ESP,170,161,1242,405,1647,0.2459016393442623,0.1961936239205151,0.8709600000000001,0.94176
HUN,141,139,744,96,840,0.1142857142857142,0.1017747728126483,0.68876,0.85804
NZL,486,301,963,188,1151,0.1633362293657689,0.1746332110119485,0.8835599999999999,0.94036
KEN,126,124,1245,211,1456,0.1449175824175824,0.1390793944178267,0.4856,0.68136
PER,34681,31415,177065,68416,245481,0.2787018139896774,0.2812815805809216,0.77128,0.77764
CUB,9412,7705,35672,7936,43608,0.1819849568886442,0.1729679994397708,0.15116,0.65416
AZE,4974,4967,25624,2243,27867,0.0804894678293321,0.066244856236632,0.20828,0.6184
COD,69,42,182,38,220,0.1727272727272727,0.2096045488902631,0.29612,0.50064
PRK,2906,2385,13139,1545,14684,0.1052165622446199,0.0989086903434572,0.08412,0.2801599999999999
TZA,502,502,3160,765,3925,0.1949044585987261,0.2257325161550788,0.4383599999999999,0.80804
ARG,9884,9496,47763,9022,56785,0.1588799859117724,0.1412720336417193,0.7879999999999999,0.84392
MKD,1571,1551,6914,1842,8756,0.2103700319780722,0.1997991188832546,0.5363600000000001,0.82208
IND,23,10,49,7,56,0.125,0.2158333333333333,0.5967600000000001,0.6704400000000001
VEN,1653,1612,8560,2293,10853,0.2112779876531834,0.1901407631776181,0.35716,0.80304
DNK,142,79,402,114,516,0.2209302325581395,0.2374792226058048,0.91824,0.95792
VNM,14,14,65,5,70,0.0714285714285714,0.085064935064935,0.15628,0.72024
USA,1381,1171,5466,1614,7080,0.2279661016949152,0.2269596966763519,0.86212,0.90492
IRQ,6256,5968,30121,3147,33268,0.0945954069977155,0.091252160032977,0.34448,0.4746
CYP,963,953,4135,755,4890,0.1543967280163599,0.1311054966811342,0.82416,0.8436400000000001
URY,30476,24550,102354,25319,127673,0.1983113109271341,0.1898957341926606,0.8839199999999999,0.8764
FRA,633,394,1027,266,1293,0.205723124516628,0.2308115557102071,0.8790399999999999,0.92768
SVK,193,189,1068,165,1233,0.1338199513381995,0.1213759638362813,0.8370799999999999,0.87576
DOM,853,789,3940,1036,4976,0.2081993569131832,0.1786168384943813,0.6252,0.79636
KOR,7407,6815,39452,7202,46654,0.1543704719852531,0.1604729606150264,0.80104,0.8747199999999999
IDN,12914,11785,74539,12971,87510,0.1482230602216889,0.1437494376196091,0.6458799999999999,0.70848
UZB,24790,17640,99503,13087,112590,0.1162359001687538,0.0930488430228272,0.17484,0.5222399999999999
AGO,1011,873,4591,1110,5701,0.1947026837396948,0.2231540390320118,0.2537999999999999,0.6661199999999999
USA,5638,5517,25284,3064,28348,0.1080852264710032,0.0907629962204522,0.86212,0.90492
DEU,574,557,2793,470,3263,0.1440392277045663,0.1131195998336103,0.88756,0.95208
JPN,7551,7549,64261,9099,73360,0.1240321701199563,0.1215492726377222,0.8394799999999999,0.7974000000000001
USA,5467,3785,22597,6591,29188,0.2258119775250102,0.2292516946278229,0.86212,0.90492
PRY,1750,1570,8326,2599,10925,0.2378947368421052,0.2316829238247325,0.58912,0.6761199999999999
EST,12,12,65,7,72,0.0972222222222222,0.111574074074074,0.88444,0.92992
DJI,179,129,837,108,945,0.1142857142857142,0.110013764725047,0.24936,0.52044
DZA,138,131,435,28,463,0.060475161987041,0.0348698089902869,0.31148,0.65652
PAN,17794,16393,82378,38379,120757,0.3178200849640186,0.3398889081855741,0.7371599999999999,0.7813599999999999
RUS,51,51,213,24,237,0.1012658227848101,0.1994694103053236,0.28832,0.65944
HRV,534,514,3123,525,3648,0.1439144736842105,0.1204630621021462,0.7800400000000001,0.90764
MEX,17549,12371,68957,19644,88601,0.2217130732158779,0.2148312679854043,0.64616,0.73
NER,34,34,219,34,253,0.1343873517786561,0.14424135072924,0.5232800000000001,0.6986
JPN,39,6,16,2,18,0.1111111111111111,0.1388888888888888,0.8394799999999999,0.7974000000000001
MRT,784,765,6003,511,6514,0.0784464230887319,0.0797268558574938,0.37912,0.58972
YEM,106,41,123,23,146,0.1575342465753424,0.1249709639953542,0.22436,0.20972
ZAF,108,28,95,11,106,0.1037735849056603,0.0843184389140271,0.74848,0.8668399999999999
FJI,18378,17655,97515,23514,121029,0.1942840145750192,0.2090205280772167,0.33204,0.5992799999999999
OMN,2626,2540,13802,2433,16235,0.1498614105327995,0.1303962141513068,0.15888,0.3631428571428571
UGA,1037,1010,7296,1726,9022,0.1913101307913988,0.2035261864597902,0.30296,0.7831600000000001
COM,409,393,2281,311,2592,0.1199845679012345,0.0932380257329043,0.38168,0.50192
GEO,1013,777,4028,429,4457,0.0962530850347767,0.0722323269057592,0.54896,0.8114
TWN,8352,8178,46169,11223,57392,0.1955499024254251,0.2560015670115579,0.8049599999999999,0.88152
BIH,4654,4410,26337,6237,32574,0.191471725916375,0.195190284169318,0.57324,0.8022
POL,4335,4130,20449,4195,24644,0.1702239896120759,0.1362093939725956,0.80156,0.8977200000000001
JPN,506,495,2727,283,3010,0.0940199335548172,0.1005885956878076,0.8394799999999999,0.7974000000000001
KHM,30794,28360,231404,46961,278365,0.1687029619384621,0.1532896339951135,0.27524,0.56784
BFA,2393,2339,15894,3405,19299,0.1764340121249805,0.1640652257868337,0.52484,0.7284
LUX,1364,1319,8842,1840,10682,0.1722523871934094,0.1711621284786356,0.8736799999999999,0.8786799999999999
SLV,22064,20632,94114,53801,147915,0.3637291687793665,0.4080747636156163,0.55776,0.68864
LSO,116,102,547,113,660,0.1712121212121212,0.1525483790223819,0.57968,0.7728400000000001
MDG,748,686,3236,978,4214,0.2320835310868533,0.2781825111365265,0.4320799999999999,0.71344
ARM,31046,30546,162759,21392,184151,0.1161655380638714,0.1079907781852739,0.4443999999999999,0.76044
BGR,1389,1291,6132,1139,7271,0.1566497043047723,0.1189382999265966,0.67608,0.9132
ISL,582,439,2052,639,2691,0.2374581939799331,0.2895790796063491,0.86548,0.91956
JAM,827,706,3543,605,4148,0.1458534233365477,0.1349209218522332,0.77708,0.89164
SYC,3199,2940,13637,2445,16082,0.1520333291879119,0.1522304669476398,0.52732,0.8372799999999999
CAN,398,394,1878,436,2314,0.1884183232497839,0.123531310117192,0.83372,0.8996000000000001
