country,female_ratio,v2x_polyarchy,v2x_gender
AGO,0.2231540390320118,0.25379999999999997,0.6661199999999999
ALB,0.241278404000117,0.51676,0.79996
AND,0.2189932431223545,,
ARE,0.0,0.07232,0.40344
ARG,0.1553711562290834,0.7879999999999999,0.84392
ARM,0.1078001501976248,0.44439999999999996,0.76044
AUS,0.3487838853220962,0.87064,0.92568
AUT,0.2736766834849522,0.8620399999999999,0.9274800000000001
AZE,0.0809959025549609,0.20828,0.6184
BDI,0.1522635042373246,0.24367999999999998,0.62368
BEL,0.4107142857142857,0.89548,0.94168
BEN,0.2036426328900807,0.58736,0.8442799999999999
BFA,0.1640652257868337,0.52484,0.7284
BGR,0.2569038879783116,0.67608,0.9132000000000001
BHR,0.2147776725510619,0.15836,0.4518
BHS,0.214073737000164,,
BIH,0.1934079895080218,0.57324,0.8022
BLR,0.1192210921178056,0.2284,0.8146
BLZ,0.1890793114150818,,
BOL,0.1890851983862032,0.65108,0.73776
BRA,0.1445291000704457,0.82244,0.79904
BRN,0.1365266376444199,,
BTN,0.1574348356730147,0.42576,0.72348
CAN,0.1238894572602589,0.83372,0.8996000000000001
CHE,0.1526456054562796,0.89664,0.9346800000000001
CHL,0.2528124290627521,0.87428,0.85836
CHN,0.0587528096903096,0.08792,0.61968
CIV,0.1427417966428157,0.45516,0.66268
COD,0.1697698267693541,0.29612,0.50064
COL,0.2997140316417056,0.6287600000000001,0.76268
COM,0.0932380257329043,0.38168,0.50192
CPV,0.1832592653725122,0.78112,0.7924800000000001
CUB,0.1678478801568266,0.15116,0.65416
CYP,0.1463474453628004,0.82416,0.8436400000000001
CZE,0.1146323783578218,0.8688800000000001,0.9050400000000001
DEU,0.1131195998336103,0.88756,0.95208
DJI,0.110013764725047,0.24936,0.52044
DNK,0.2332641895141895,0.91824,0.95792
DOM,0.2201584411457769,0.6252,0.79636
DZA,0.0741031462262255,0.31148,0.65652
ECU,0.1763426174794475,0.629,0.8175199999999999
EGY,0.0690760475858832,0.19704,0.39852
ESP,0.1554259834660074,0.8709600000000001,0.94176
EST,0.2097600201330975,0.88444,0.9299200000000001
FIN,0.368363283061568,0.87564,0.9448799999999999
FJI,0.2090205280772167,0.33204,0.5992799999999999
FRA,0.2114047292309583,0.8790399999999999,0.9276800000000001
GAB,0.1371211876871262,0.35728000000000004,0.7297199999999999
GBR,0.2248491884251384,0.8609600000000001,0.8957999999999999
GEO,0.0886241202948597,0.54896,0.8114
GHA,0.3183321199251275,0.72724,0.7992400000000001
GMB,0.2207388686507534,0.34740000000000004,0.6126400000000001
GNQ,0.1674638102334763,0.1812,0.42156
GRC,0.0660577776604696,0.86208,0.9178800000000001
GTM,0.1964110421826919,0.57244,0.65032
GUY,0.1630534925436979,0.58,0.84904
HRV,0.1710245821073134,0.7800400000000001,0.9076400000000001
HUN,0.079402381048014,0.68876,0.85804
IDN,0.1454645734304689,0.6458799999999999,0.70848
IND,0.0895374903413848,0.5967600000000001,0.6704400000000001
IRL,0.5,0.8930800000000001,0.8986
IRN,0.0443675113281946,0.1812,0.32512
