country,year_min,year_max,n_news,n_images_people,male_total,female_total,people_total,female_ratio
PAK,2023,2024,5,11,82,7,89,0.07865168539325842
PAN,2010,2024,9768,16393,82378,38379,120757,0.31782008496401865
PER,2018,2024,7800,31415,177065,68416,245481,0.2787018139896774
PHL,1950,2024,12351,18762,138052,51690,189742,0.27242255272949584
POL,2001,2024,2111,7761,43089,8597,51686,0.16633130828464188
PRK,2017,2019,217,2385,13139,1545,14684,0.10521656224461999
PRT,2016,2024,582,601,3125,619,3744,0.16533119658119658
PRY,2019,2023,863,1570,8326,2599,10925,0.23789473684210527
PSE,2019,2024,176,176,586,97,683,0.14202049780380674
QAT,2012,2024,7518,7518,27128,5836,32964,0.1770416211624803
ROU,2012,2024,2976,8095,42542,5547,48089,0.1153486244255443
RUS,1999,2024,14298,48323,261574,27235,288809,0.09430107787499697
RWA,2017,2024,708,718,4409,618,5027,0.12293614481798289
SAU,2023,2024,29,29,170,20,190,0.10526315789473684
SGP,2007,2024,1386,3305,13470,2517,15987,0.1574404203415275
SLE,2022,2024,196,711,4743,998,5741,0.1738373105730709
SLV,2019,2024,2139,20633,94118,53802,147920,0.36372363439697136
SOM,2024,2024,177,845,4565,561,5126,0.10944206008583691
SRB,2004,2024,6561,14955,69280,12237,81517,0.15011592673920776
SUR,2020,2024,5114,11939,71531,18632,90163,0.2066479598061289
SVK,1970,2024,2556,2713,14113,2333,16446,0.14185820260245652
SVN,2019,2024,3739,4080,17756,5168,22924,0.22544058628511604
SWE,2014,2024,66,93,455,122,577,0.21143847487001732
SYC,2010,2024,2941,2941,13638,2446,16084,0.15207659786122854
SYR,2013,2024,15018,26820,142492,20668,163160,0.1266732042167198
TGO,2024,2024,8,12,144,13,157,0.08280254777070063
TJK,2005,2024,3647,53236,366763,57072,423835,0.13465617516250428
TKM,2016,2024,5703,5703,34854,4804,39658,0.12113571032326391
TLS,2010,2024,2230,3596,20294,3196,23490,0.1360578969774372
TTO,2015,2024,742,1818,6756,1379,8135,0.16951444376152427
TUR,2014,2024,7388,111256,730935,116680,847615,0.13765683712534582
TWN,2007,2024,3224,8675,49031,11861,60892,0.19478749260986664
TZA,2013,2024,1188,2387,15052,3351,18403,0.1820898766505461
UGA,2021,2024,435,1010,7296,1726,9022,0.1913101307913988
UKR,2012,2024,7575,31017,150456,30015,180471,0.16631480958159484
URY,2000,2024,25388,28463,123422,30689,154111,0.19913568791325734
USA,2001,2024,5612,10902,54486,11742,66228,0.17729661170501904
UZB,2016,2024,4314,19571,108061,13716,121777,0.11263210622695582
VCT,2014,2024,131,241,993,300,1293,0.23201856148491878
VEN,2018,2024,834,1612,8560,2293,10853,0.21127798765318345
VNM,2022,2024,10,14,65,5,70,0.07142857142857142
WSM,2014,2024,648,897,4088,1293,5381,0.24028990893885896
XKX,2022,2024,453,588,3135,1352,4487,0.30131490973924674
YEM,2018,2024,26,41,123,23,146,0.15753424657534246
ZAF,2014,2022,18,28,95,11,106,0.10377358490566038
