country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy
BGR,2011,1,1,0,2,2,1.0,0.672
BGR,2012,71,81,392,61,453,0.1346578366445916,0.663
BGR,2013,218,348,1946,320,2266,0.1412180052956752,0.657
BGR,2014,263,486,2688,385,3073,0.1252847380410023,0.677
BGR,2015,137,293,1430,215,1645,0.1306990881458966,0.669
BGR,2016,55,111,442,54,496,0.1088709677419354,0.669
BGR,2017,253,555,2851,915,3766,0.242963356346256,0.624
BGR,2018,486,1431,7468,2567,10035,0.2558046836073742,0.614
BGR,2019,205,359,1869,568,2437,0.2330734509643003,0.614
BGR,2020,240,329,1101,323,1424,0.2268258426966292,0.603
BGR,2021,376,442,1742,479,2221,0.2156686177397568,0.666
BGR,2022,370,646,3075,1165,4240,0.2747641509433962,0.694
BGR,2023,329,768,3597,1677,5274,0.3179749715585893,0.67
BGR,2024,263,574,2911,1295,4206,0.3078934854969092,0.646
BHR,2009,7,9,43,5,48,0.1041666666666666,0.221
BHR,2010,9,12,40,11,51,0.2156862745098039,0.216
BHR,2011,5,5,9,3,12,0.25,0.17
BHR,2012,95,221,806,141,947,0.1488912354804646,0.159
BHR,2013,174,650,3129,709,3838,0.1847316310578426,0.158
BHR,2014,227,1117,6002,1162,7164,0.1621998883305416,0.156
BHR,2015,200,1304,6710,1334,8044,0.1658378915962207,0.134
BHR,2016,170,1225,6885,1592,8477,0.1878022885454759,0.13
BHR,2017,229,1290,6860,1519,8379,0.1812865497076023,0.122
BHR,2018,184,1159,6405,1736,8141,0.2132416165090283,0.118
BHR,2019,160,1005,5539,1593,7132,0.2233595064498037,0.117
BHR,2020,282,857,4266,1200,5466,0.2195389681668496,0.117
BHR,2021,510,1425,4681,1939,6620,0.2929003021148036,0.12
BHR,2022,585,1586,7015,2443,9458,0.2582998519771622,0.123
BHR,2023,614,1844,9066,2641,11707,0.2255915264371743,0.124
BHR,2024,400,1908,9739,3332,13071,0.2549154617091271,0.124
BHS,2015,3,6,36,10,46,0.217391304347826,
BHS,2016,251,445,2499,664,3163,0.2099272842238381,
BHS,2017,242,434,2206,650,2856,0.2275910364145658,
BHS,2018,41,56,327,100,427,0.234192037470726,
BHS,2019,16,36,163,36,199,0.1809045226130653,
BHS,2020,13,21,58,13,71,0.1830985915492957,
BHS,2021,37,72,336,59,395,0.1493670886075949,
BHS,2022,51,86,388,76,464,0.1637931034482758,
BHS,2023,62,84,372,123,495,0.2484848484848484,
BHS,2024,102,137,576,234,810,0.2888888888888888,
BIH,2012,35,151,1029,125,1154,0.108318890814558,0.573
BIH,2013,54,246,1584,231,1815,0.1272727272727272,0.563
BIH,2014,41,233,1461,209,1670,0.1251497005988024,0.56
BIH,2015,19,64,387,51,438,0.1164383561643835,0.549
BIH,2016,4,7,25,3,28,0.1071428571428571,0.554
BIH,2020,173,335,1284,342,1626,0.2103321033210332,0.524
BIH,2021,444,860,4361,969,5330,0.1818011257035647,0.517
BIH,2022,842,1683,10105,2169,12274,0.1767150073325729,0.521
BIH,2023,1082,2445,13882,3365,17247,0.1951063953151272,0.504
BIH,2024,749,1506,8341,2314,10655,0.2171750351947442,0.508
BLR,2000,1,3,11,0,11,0.0,0.297
BLR,2011,11,17,109,6,115,0.0521739130434782,0.216
BLR,2012,10,30,179,10,189,0.0529100529100529,0.221
BLR,2013,54,98,462,35,497,0.0704225352112676,0.242
BLR,2014,89,169,985,123,1108,0.1110108303249097,0.245
BLR,2015,126,195,1028,124,1152,0.1076388888888889,0.25
BLR,2016,200,300,1768,269,2037,0.1320569464899361,0.256
BLR,2017,153,300,1712,284,1996,0.1422845691382765,0.256
BLR,2018,96,199,1069,193,1262,0.152931854199683,0.257
BLR,2019,101,176,1003,158,1161,0.136089577950043,0.26
BLR,2020,77,135,565,82,647,0.1267387944358578,0.211
BLR,2021,105,122,512,51,563,0.0905861456483126,0.173
BLR,2022,108,151,608,78,686,0.1137026239067055,0.172
BLR,2023,94,181,788,78,866,0.0900692840646651,0.157
BLR,2024,135,1560,7531,1333,8864,0.1503835740072202,0.161
BLZ,2019,6,6,40,10,50,0.2,
BLZ,2020,23,30,101,12,113,0.1061946902654867,
BLZ,2021,107,136,658,81,739,0.1096075778078484,
BLZ,2022,160,208,1168,254,1422,0.1786216596343178,
BLZ,2023,151,207,1273,317,1590,0.1993710691823899,
BLZ,2024,115,150,935,281,1216,0.2310855263157894,
BOL,2013,37,40,179,28,207,0.1352657004830917,0.661
BOL,2014,151,151,765,175,940,0.1861702127659574,0.646
BOL,2015,187,199,927,263,1190,0.2210084033613445,0.617
BOL,2016,187,705,4048,869,4917,0.1767337807606264,0.619
BOL,2017,231,1089,6412,1415,7827,0.1807844640347515,0.615
BOL,2018,176,982,5452,1127,6579,0.1713026295789633,0.598
BOL,2019,233,1100,6770,1565,8335,0.1877624475104979,0.481
