country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy
GAB,2015,13,18,106,12,118,0.1016949152542373,0.373
GAB,2018,1,1,14,2,16,0.125,0.386
GAB,2023,21,26,159,32,191,0.1675392670157068,0.329
GAB,2024,110,165,924,148,1072,0.1380597014925373,0.229
GBR,2006,11,11,41,6,47,0.1276595744680851,0.867
GBR,2007,14,14,38,10,48,0.2083333333333333,0.867
GBR,2008,17,17,66,12,78,0.1538461538461538,0.867
GBR,2009,20,20,68,24,92,0.2608695652173913,0.867
GBR,2010,220,313,1257,186,1443,0.1288981288981289,0.866
GBR,2011,308,437,1938,269,2207,0.1218849116447666,0.867
GBR,2012,223,392,1867,287,2154,0.1332404828226555,0.867
GBR,2013,851,1256,4967,916,5883,0.1557028726840047,0.866
GBR,2014,462,585,2091,543,2634,0.2061503416856492,0.866
GBR,2015,320,378,1492,303,1795,0.1688022284122562,0.858
GBR,2016,266,312,1104,376,1480,0.254054054054054,0.856
GBR,2017,327,360,1493,376,1869,0.2011771000535045,0.867
GBR,2018,556,626,2553,844,3397,0.2484545186929644,0.874
GBR,2019,791,905,3779,1204,4983,0.2416215131446919,0.855
GBR,2020,624,649,2041,606,2647,0.2289384208537967,0.87
GBR,2021,566,592,2070,602,2672,0.2252994011976048,0.859
GBR,2022,794,838,2719,922,3641,0.2532271354023619,0.842
GBR,2023,821,869,2877,787,3664,0.2147925764192139,0.847
GBR,2024,658,696,2153,716,2869,0.2495643081212966,0.833
GEO,2013,5,5,36,4,40,0.1,0.618
GEO,2014,674,750,5230,570,5800,0.0982758620689655,0.667
GEO,2015,741,889,5264,593,5857,0.1012463718627283,0.669
GEO,2016,908,1009,6505,732,7237,0.1011468840679839,0.682
GEO,2017,514,866,5044,489,5533,0.0883788180010844,0.674
GEO,2018,583,857,4637,528,5165,0.1022265246853823,0.664
GEO,2019,642,1022,5789,829,6618,0.1252644303414929,0.625
GEO,2020,557,863,4922,798,5720,0.1395104895104895,0.618
GEO,2021,976,1312,6939,793,7732,0.1025607863424728,0.604
GEO,2022,798,1051,5298,494,5792,0.0852900552486187,0.606
GEO,2023,808,995,4653,554,5207,0.1063952371807182,0.583
GEO,2024,455,777,4447,549,4996,0.1098879103282626,0.48
GHA,2015,2,2,17,6,23,0.2608695652173913,0.74
GHA,2017,4,18,58,13,71,0.1830985915492957,0.743
GHA,2018,118,329,1842,651,2493,0.2611311672683514,0.742
GHA,2019,53,53,200,83,283,0.293286219081272,0.722
GHA,2020,11,11,50,17,67,0.2537313432835821,0.719
GHA,2021,1,1,11,7,18,0.3888888888888889,0.665
GHA,2022,49,49,202,95,297,0.3198653198653198,0.662
GHA,2023,41,41,219,107,326,0.3282208588957055,0.664
GHA,2024,17,17,108,45,153,0.2941176470588235,0.669
GMB,2021,29,29,166,65,231,0.2813852813852814,0.503
GMB,2022,67,259,1040,317,1357,0.2336035372144436,0.626
GMB,2023,19,19,128,23,151,0.152317880794702,0.64
GMB,2024,41,41,302,61,363,0.1680440771349862,0.634
GNQ,2019,1705,1705,8736,1589,10325,0.1538983050847457,0.179
GNQ,2020,1717,1730,7350,1261,8611,0.1464405992335385,0.178
GNQ,2021,1128,3320,17265,2789,20054,0.1390744988530966,0.174
GNQ,2022,600,1968,12090,2461,14551,0.169129269466016,0.174
GNQ,2023,1003,3824,23048,4849,27897,0.1738179732587733,0.184
GNQ,2024,1162,4645,29169,6466,35635,0.1814508208222253,0.178
GRC,2010,11,18,46,5,51,0.0980392156862745,0.907
GRC,2011,57,93,344,36,380,0.0947368421052631,0.906
GRC,2012,34,58,193,17,210,0.0809523809523809,0.899
GRC,2013,83,129,424,31,455,0.0681318681318681,0.887
GRC,2014,113,188,629,57,686,0.0830903790087463,0.886
GRC,2015,76,121,403,23,426,0.0539906103286385,0.877
GRC,2016,77,124,517,30,547,0.0548446069469835,0.871
GRC,2017,119,171,597,59,656,0.0899390243902439,0.871
GRC,2018,108,162,399,29,428,0.0677570093457943,0.863
GRC,2019,125,205,607,73,680,0.1073529411764705,0.864
GRC,2020,155,231,539,55,594,0.0925925925925925,0.789
GRC,2021,154,212,499,45,544,0.0827205882352941,0.763
GRC,2022,212,299,849,102,951,0.1072555205047318,0.763
GRC,2023,159,215,588,69,657,0.1050228310502283,0.74
GRC,2024,185,252,652,97,749,0.1295060080106809,0.75
GTM,2018,18,25,157,76,233,0.3261802575107296,0.599
GTM,2019,288,772,4467,1292,5759,0.2243445042542108,0.604
GTM,2020,443,941,4592,939,5531,0.1697703851021515,0.587
GTM,2021,1491,3515,16467,3200,19667,0.1627091066253114,0.549
GTM,2022,1705,3416,18449,3835,22284,0.1720965715311434,0.507
GTM,2023,976,1853,9912,2307,12219,0.1888043211392094,0.505
GTM,2024,1531,4367,24505,7520,32025,0.2348165495706479,0.597
GUY,2017,3,3,18,2,20,0.1,0.661
GUY,2018,1,1,4,1,5,0.2,0.665
GUY,2019,5,5,8,9,17,0.5294117647058824,0.645
GUY,2020,4,5,8,0,8,0.0,0.557
GUY,2021,6,8,18,1,19,0.0526315789473684,0.495
GUY,2022,28,35,108,33,141,0.2340425531914893,0.496
GUY,2023,125,125,577,106,683,0.1551976573938506,0.491
GUY,2024,38,41,127,32,159,0.2012578616352201,0.491
HRV,2003,76,76,355,28,383,0.0731070496083551,0.774
HRV,2004,47,47,167,13,180,0.0722222222222222,0.752
HRV,2005,45,45,148,59,207,0.2850241545893719,0.777
HRV,2006,35,35,110,47,157,0.2993630573248407,0.775
HRV,2007,93,93,358,98,456,0.2149122807017544,0.787
HRV,2008,222,222,1066,153,1219,0.1255127153404429,0.783
HRV,2009,326,326,1565,182,1747,0.1041785918717801,0.787
HRV,2010,370,370,1830,256,2086,0.1227229146692233,0.846
HRV,2011,131,131,689,55,744,0.0739247311827957,0.854
HRV,2012,212,212,802,299,1101,0.2715712988192552,0.855
HRV,2014,2,3,13,1,14,0.0714285714285714,0.828
HRV,2015,72,121,799,90,889,0.1012373453318335,0.816
HRV,2017,80,80,621,128,749,0.1708945260347129,0.739
HRV,2018,78,78,513,98,611,0.160392798690671,0.732
HRV,2019,77,77,569,108,677,0.1595273264401772,0.742
HRV,2020,49,51,219,43,262,0.1641221374045801,0.773
HRV,2021,300,321,1249,242,1491,0.1623071763916834,0.761
HRV,2022,207,438,2089,564,2653,0.2125895212966453,0.742
HRV,2023,196,476,2636,739,3375,0.2189629629629629,0.744
HRV,2024,146,461,2649,725,3374,0.2148784825133373,0.723
HUN,2011,2,2,12,2,14,0.1428571428571428,0.782
HUN,2012,29,34,170,38,208,0.1826923076923076,0.777
HUN,2013,44,56,292,30,322,0.093167701863354,0.728
HUN,2014,340,561,2765,343,3108,0.1103603603603603,0.667
HUN,2015,616,1391,6543,685,7228,0.0947703375760929,0.616
HUN,2016,735,1722,7985,809,8794,0.0919945417329997,0.607
HUN,2017,717,1765,8430,1029,9459,0.1087852838566444,0.559
HUN,2018,464,1143,5316,639,5955,0.1073047858942065,0.483
HUN,2019,185,426,2069,226,2295,0.098474945533769,0.471
HUN,2020,17,30,149,23,172,0.1337209302325581,0.468
HUN,2021,1,1,1,0,1,0.0,0.452
HUN,2022,3,10,35,14,49,0.2857142857142857,0.452
HUN,2023,2,3,37,10,47,0.2127659574468085,0.437
HUN,2024,3,4,12,1,13,0.0769230769230769,0.436
IDN,2014,199,199,1384,160,1544,0.1036269430051813,0.665
IDN,2015,699,709,4685,702,5387,0.1303137182105067,0.654
IDN,2016,732,739,5108,693,5801,0.1194621616962592,0.645
IDN,2017,636,638,4469,738,5207,0.1417322834645669,0.628
IDN,2018,1257,1261,8555,1519,10074,0.1507841969426245,0.603
IDN,2019,1571,1589,11714,2374,14088,0.1685122089721749,0.602
IDN,2020,1557,1557,7027,1214,8241,0.1473122193908506,0.574
IDN,2021,1676,1676,6622,1211,7833,0.1546023235031278,0.551
IDN,2022,1404,1405,8560,1412,9972,0.1415964701163257,0.557
IDN,2023,1339,1339,10456,1954,12410,0.157453666398066,0.538
IDN,2024,1077,1079,8683,1648,10331,0.1595198915884232,0.483
IND,2011,1,4,23,2,25,0.08,0.672
IND,2012,1,1,10,0,10,0.0,0.66
IND,2013,1,1,11,1,12,0.0833333333333333,0.658
IND,2014,353,651,4082,383,4465,0.0857782754759238,0.622
IND,2015,481,1578,11555,1287,12842,0.1002180345740538,0.546
IND,2016,408,602,4322,434,4756,0.0912531539108494,0.526
IND,2017,326,498,3542,399,3941,0.1012433392539964,0.481
IND,2018,270,479,3541,553,4094,0.1350757205666829,0.476
IND,2019,240,328,2199,302,2501,0.1207516993202719,0.431
IND,2020,246,248,1231,169,1400,0.1207142857142857,0.394
IND,2021,468,476,1830,243,2073,0.1172214182344428,0.397
IND,2022,631,643,4116,655,4771,0.1372877803395514,0.388
IND,2023,714,733,3895,568,4463,0.1272686533721712,0.373
IND,2024,609,610,3253,520,3773,0.1378213623111582,0.398
IRL,2023,1,5,9,3,12,0.25,0.895
IRN,2013,61,389,2128,129,2257,0.0571555161719096,0.175
IRN,2014,68,1034,7305,416,7721,0.0538790312135733,0.185
IRN,2015,411,4931,38569,2618,41187,0.0635637458421346,0.188
IRN,2016,785,6884,56025,3559,59584,0.0597308002148227,0.188
IRN,2017,530,4507,38706,1995,40701,0.049015994693005,0.187
IRN,2018,344,2051,15713,879,16592,0.0529773384763741,0.183
IRN,2019,270,2332,17973,808,18781,0.0430222032905596,0.182
IRN,2020,1134,8943,38876,1493,40369,0.0369838242215561,0.166
IRN,2021,1494,13981,79316,3951,83267,0.0474497700169334,0.158
IRN,2022,2554,15813,114611,7695,122306,0.0629159648749856,0.151
IRN,2023,1319,2030,12532,788,13320,0.0591591591591591,0.154
IRN,2024,721,721,2911,119,3030,0.0392739273927392,0.167
IRQ,2019,626,852,4183,493,4676,0.105431993156544,0.391
IRQ,2020,878,1512,7927,744,8671,0.0858032522200438,0.371
IRQ,2021,731,1469,7275,734,8009,0.0916468972406043,0.371
IRQ,2022,541,863,3719,451,4170,0.1081534772182254,0.372
IRQ,2023,4,8,28,10,38,0.2631578947368421,0.356
IRQ,2024,742,1264,6989,715,7704,0.0928089304257528,0.351
ISL,2018,21,47,211,55,266,0.206766917293233,0.877
ISL,2019,33,58,336,81,417,0.1942446043165467,0.857
ISL,2020,57,66,217,116,333,0.3483483483483483,0.861
ISL,2021,49,67,241,98,339,0.2890855457227139,0.837
ISL,2022,48,76,336,129,465,0.2774193548387096,0.83
ISL,2023,47,69,337,80,417,0.1918465227817745,0.844
ISL,2024,44,56,374,80,454,0.1762114537444934,0.844
ISR,2001,2,2,23,3,26,0.1153846153846153,0.762
ISR,2002,3,3,9,0,9,0.0,0.764
ISR,2005,6,6,18,0,18,0.0,0.76
ISR,2006,4,4,8,3,11,0.2727272727272727,0.763
ISR,2007,2,2,10,2,12,0.1666666666666666,0.761
ISR,2008,8,8,18,8,26,0.3076923076923077,0.761
ISR,2009,5,5,10,1,11,0.0909090909090909,0.757
ISR,2011,3,3,15,1,16,0.0625,0.749
ISR,2012,7,7,18,4,22,0.1818181818181818,0.754
ISR,2013,13,13,79,14,93,0.1505376344086021,0.744
ISR,2014,17,17,105,8,113,0.0707964601769911,0.744
ISR,2015,11,11,32,3,35,0.0857142857142857,0.736
ISR,2016,4,4,20,0,20,0.0,0.731
ISR,2017,4,4,17,2,19,0.1052631578947368,0.718
ISR,2018,236,236,854,91,945,0.0962962962962963,0.713
ISR,2019,63,63,235,29,264,0.1098484848484848,0.714
ISR,2020,98,98,286,36,322,0.1118012422360248,0.728
ISR,2021,252,252,940,129,1069,0.1206735266604303,0.738
ISR,2022,258,258,1131,161,1292,0.1246130030959752,0.728
ISR,2023,193,193,1028,156,1184,0.1317567567567567,0.72
ISR,2024,46,46,223,27,250,0.108,0.715
ITA,2014,7,7,31,5,36,0.1388888888888889,0.865
ITA,2015,7,7,12,6,18,0.3333333333333333,0.865
ITA,2016,3,5,55,12,67,0.1791044776119403,0.872
ITA,2017,36,47,206,26,232,0.1120689655172413,0.87
ITA,2018,24,29,114,6,120,0.05,0.869
ITA,2019,42,52,329,63,392,0.1607142857142857,0.86
ITA,2020,7,15,57,9,66,0.1363636363636363,0.866
ITA,2021,7,8,28,7,35,0.2,0.865
ITA,2022,35,35,171,51,222,0.2297297297297297,0.848
ITA,2023,272,281,763,377,1140,0.3307017543859649,0.816
ITA,2024,220,232,794,369,1163,0.3172828890799656,0.803
JAM,2016,44,44,196,40,236,0.1694915254237288,0.809
JAM,2017,127,127,749,153,902,0.1696230598669623,0.815
JAM,2018,87,87,470,105,575,0.1826086956521739,0.811
JAM,2019,101,115,562,94,656,0.1432926829268292,0.814
JAM,2020,70,99,381,44,425,0.1035294117647058,0.814
JAM,2021,61,67,211,30,241,0.1244813278008298,0.806
JAM,2022,96,110,510,88,598,0.1471571906354515,0.803
JAM,2023,32,37,168,41,209,0.1961722488038277,0.803
JAM,2024,109,111,609,135,744,0.1814516129032258,0.803
JOR,2021,20,20,90,15,105,0.1428571428571428,0.257
JOR,2022,19,19,91,14,105,0.1333333333333333,0.256
JOR,2023,42,42,122,28,150,0.1866666666666666,0.251
JOR,2024,41,45,261,62,323,0.1919504643962848,0.273
JPN,1998,1,1,1,0,1,0.0,0.844
JPN,2001,1,1,1,1,2,0.5,0.845
JPN,2008,1,2,3,1,4,0.25,0.857
JPN,2009,1,2,11,0,11,0.0,0.859
JPN,2013,35,69,363,39,402,0.0970149253731343,0.823
JPN,2014,54,112,588,60,648,0.0925925925925925,0.823
JPN,2015,65,123,658,68,726,0.09366391184573,0.825
JPN,2016,83,191,1118,116,1234,0.0940032414910859,0.825
JPN,2017,99,314,1947,153,2100,0.0728571428571428,0.823
JPN,2018,163,398,2115,189,2304,0.08203125,0.84
JPN,2019,95,251,1227,116,1343,0.086373790022338,0.838
JPN,2020,40,86,389,39,428,0.0911214953271028,0.836
JPN,2021,75,169,547,68,615,0.1105691056910569,0.827
JPN,2022,347,1301,9383,1076,10459,0.102877904197342,0.823
JPN,2023,845,3758,28152,4096,32248,0.1270156288762093,0.828
JPN,2024,577,3312,30288,4536,34824,0.1302549965541006,0.82
KAZ,2012,11,17,162,19,181,0.1049723756906077,0.235
KAZ,2013,15,31,230,33,263,0.1254752851711026,0.231
KAZ,2014,195,295,2237,311,2548,0.1220565149136577,0.232
KAZ,2015,138,275,2734,525,3259,0.1610923596195151,0.236
KAZ,2016,145,368,3287,416,3703,0.1123413448555225,0.245
KAZ,2017,181,485,4382,664,5046,0.1315893777249306,0.236
KAZ,2018,195,677,6430,977,7407,0.1319022546240043,0.234
KAZ,2019,227,880,7306,1135,8441,0.1344627413813529,0.236
KAZ,2020,108,516,4038,353,4391,0.0803917103165565,0.24
KAZ,2021,141,431,2084,153,2237,0.0683951721054984,0.252
KAZ,2022,145,642,4197,556,4753,0.1169787502629918,0.265
KAZ,2023,143,664,4596,632,5228,0.1208875286916602,0.271
KAZ,2024,79,412,3147,568,3715,0.1528936742934051,0.272
KEN,2022,2,2,7,2,9,0.2222222222222222,0.548
KEN,2023,1,1,10,7,17,0.4117647058823529,0.566
KEN,2024,141,155,1467,272,1739,0.156411730879816,0.549
KGZ,2018,29,60,285,61,346,0.176300578034682,0.467
KGZ,2019,915,3841,22908,4753,27661,0.171830374896063,0.446
KGZ,2020,1388,6877,37157,5309,42466,0.1250176611877737,0.39
KGZ,2021,2180,11379,64964,11113,76077,0.1460756864755445,0.409
KGZ,2022,1952,10509,64006,12696,76702,0.1655237151573622,0.379
KGZ,2023,1560,6673,38027,7677,45704,0.167972168737966,0.35
KGZ,2024,1588,6602,39224,7190,46414,0.154910156418322,0.333
KHM,2016,33,118,650,44,694,0.063400576368876,0.28
KHM,2017,450,3021,25943,5188,31131,0.1666506055057659,0.234
KHM,2018,581,4505,37610,7347,44957,0.1634228262562003,0.211
KHM,2019,688,5154,42588,7130,49718,0.1434088257773844,0.195
KHM,2020,293,2357,19373,3591,22964,0.1563751959588921,0.192
KHM,2021,202,1361,9550,1072,10622,0.1009226134437959,0.192
KHM,2022,646,5158,43080,7001,50081,0.1397935344741518,0.199
KHM,2023,955,10941,88800,21557,110357,0.195338764192575,0.19
KHM,2024,1124,6696,46808,9601,56409,0.1702033363470368,0.186
KOR,2013,3,8,55,5,60,0.0833333333333333,0.718
KOR,2014,352,1167,7312,1184,8496,0.1393596986817326,0.71
KOR,2015,405,1277,7791,1458,9249,0.1576386636393123,0.714
KOR,2016,615,1167,6807,1320,8127,0.162421557770395,0.729
KOR,2017,642,932,4736,720,5456,0.1319648093841642,0.859
KOR,2018,621,960,5056,1118,6174,0.1810819565921606,0.864
KOR,2019,478,704,3561,722,4283,0.1685734298388979,0.852
KOR,2020,400,465,1842,422,2264,0.1863957597173144,0.858
KOR,2021,312,410,1843,336,2179,0.1541991739329967,0.861
KOR,2022,233,339,1708,324,2032,0.1594488188976378,0.81
KOR,2023,366,545,3203,670,3873,0.1729925122643945,0.733
KOR,2024,313,369,2227,471,2698,0.1745737583395107,0.729
KWT,2023,189,189,949,168,1117,0.1504028648164727,0.316
KWT,2024,100,100,492,126,618,0.203883495145631,0.292
LBR,2011,9,9,16,8,24,0.3333333333333333,0.645
LBR,2012,24,24,18,14,32,0.4375,0.64
LBR,2013,64,64,121,30,151,0.1986754966887417,0.613
LBR,2014,180,180,532,97,629,0.1542130365659777,0.61
LBR,2015,200,200,370,125,495,0.2525252525252525,0.609
LBR,2016,222,222,418,159,577,0.2755632582322357,0.616
LBR,2017,189,189,411,123,534,0.2303370786516854,0.617
LBR,2018,179,179,534,39,573,0.0680628272251308,0.619
LBR,2019,148,148,397,27,424,0.0636792452830188,0.621
LBR,2020,112,112,229,19,248,0.0766129032258064,0.634
LBR,2021,72,72,184,18,202,0.0891089108910891,0.612
LBR,2022,9,10,15,3,18,0.1666666666666666,0.614
LBR,2023,13,13,30,4,34,0.1176470588235294,0.623
LBR,2024,121,123,325,70,395,0.1772151898734177,0.613
LKA,2015,1,1,2,0,2,0.0,0.545
LKA,2016,1,1,2,0,2,0.0,0.587
LKA,2018,1,4,44,4,48,0.0833333333333333,0.607
LKA,2019,6,10,66,9,75,0.12,0.558
LKA,2020,10,15,70,15,85,0.1764705882352941,0.578
LKA,2021,7,15,59,18,77,0.2337662337662337,0.57
LKA,2023,7,31,151,31,182,0.1703296703296703,0.574
LKA,2024,1,4,12,6,18,0.3333333333333333,0.664
LSO,2023,40,55,302,73,375,0.1946666666666666,0.675
LSO,2024,47,47,245,40,285,0.1403508771929824,0.658
LTU,2020,11,11,19,14,33,0.4242424242424242,0.807
LTU,2021,183,183,301,205,506,0.4051383399209486,0.799
LTU,2022,169,169,585,239,824,0.2900485436893203,0.799
LTU,2023,134,134,396,207,603,0.3432835820895522,0.788
LTU,2024,132,143,455,223,678,0.3289085545722713,0.799
LUX,2018,2,35,317,80,397,0.2015113350125944,0.876
LUX,2019,3,61,707,170,877,0.193842645381984,0.876
LUX,2020,9,38,275,16,291,0.0549828178694158,0.876
LUX,2021,1,2,2,2,4,0.5,0.876
LUX,2022,19,355,2273,499,2772,0.18001443001443,0.876
LUX,2023,20,258,1431,249,1680,0.1482142857142857,0.874
LUX,2024,48,570,3837,824,4661,0.1767860974039905,0.867
LVA,2015,1,1,8,5,13,0.3846153846153846,0.842
LVA,2016,86,86,576,59,635,0.0929133858267716,0.841
LVA,2017,43,43,191,11,202,0.0544554455445544,0.835
LVA,2018,58,60,305,56,361,0.1551246537396121,0.834
LVA,2019,43,48,188,26,214,0.1214953271028037,0.835
LVA,2020,229,419,1498,326,1824,0.1787280701754386,0.827
LVA,2021,260,333,1050,214,1264,0.1693037974683544,0.832
LVA,2022,289,309,1441,517,1958,0.2640449438202247,0.83
LVA,2023,326,455,2214,865,3079,0.2809353686261773,0.847
LVA,2024,406,602,2807,1177,3984,0.2954317269076305,0.838
MAR,2020,501,519,1336,160,1496,0.106951871657754,0.256
MAR,2021,358,369,867,95,962,0.0987525987525987,0.262
MAR,2022,432,449,1290,157,1447,0.1085003455425017,0.262
MAR,2023,392,401,1114,147,1261,0.1165741475019825,0.262
MAR,2024,273,278,714,100,814,0.1228501228501228,0.263
MDA,2014,6,62,428,47,475,0.0989473684210526,0.617
MDA,2015,68,653,2748,459,3207,0.1431244153414406,0.566
MDA,2016,100,1336,6375,1087,7462,0.1456714017689627,0.525
MDA,2017,113,1625,7820,1597,9417,0.1695869172772645,0.505
MDA,2018,125,1658,7685,1538,9223,0.1667570204922476,0.504
MDA,2019,144,1196,5532,1358,6890,0.1970972423802612,0.58
MDA,2020,470,4422,18095,2934,21029,0.1395216130106044,0.651
MDA,2021,472,2674,9734,2257,11991,0.1882245017096155,0.755
MDA,2022,619,6276,27706,9523,37229,0.2557952134089016,0.763
MDA,2023,279,2841,13291,4172,17463,0.2389051136688999,0.709
MDA,2024,437,3535,17447,5326,22773,0.2338734466253897,0.632
MDG,2021,4,6,42,10,52,0.1923076923076923,0.494
MDG,2022,102,149,1211,238,1449,0.1642512077294686,0.497
MDG,2023,76,102,743,151,894,0.168903803131991,0.479
MDG,2024,133,139,730,246,976,0.2520491803278688,0.417
MDV,2009,240,242,1225,121,1346,0.0898959881129271,0.603
MDV,2010,358,360,1851,231,2082,0.1109510086455331,0.596
MDV,2011,549,996,5318,863,6181,0.1396214204821226,0.597
MDV,2012,662,1100,5539,836,6375,0.1311372549019608,0.537
MDV,2013,518,845,3385,627,4012,0.1562811565304087,0.45
MDV,2014,537,884,3746,762,4508,0.1690328305235137,0.402
MDV,2015,368,631,2813,654,3467,0.1886357081049899,0.374
MDV,2016,311,555,2980,644,3624,0.1777041942604856,0.362
MDV,2017,356,625,3552,682,4234,0.161076995748701,0.354
MDV,2018,420,489,2876,601,3477,0.1728501581823411,0.386
MDV,2019,856,1707,9727,1882,11609,0.1621155999655439,0.568
MDV,2020,363,575,2780,446,3226,0.1382517048977061,0.573
MDV,2021,560,1238,5860,959,6819,0.1406364569584983,0.577
MDV,2022,625,1460,7390,1503,8893,0.1690093331834026,0.58
MDV,2023,652,1280,5719,1125,6844,0.1643775569842197,0.591
MDV,2024,1074,2301,9835,2273,12108,0.1877271225635943,0.564
MEX,2015,3,5,29,4,33,0.1212121212121212,0.639
MEX,2016,1,3,27,6,33,0.1818181818181818,0.64
MEX,2017,164,481,2929,563,3492,0.161225658648339,0.635
MEX,2018,181,327,2116,384,2500,0.1536,0.675
MEX,2019,974,1712,9599,2084,11683,0.1783788410510998,0.685
MEX,2020,282,663,3481,706,4187,0.1686171483162168,0.663
MEX,2021,668,2701,13220,2701,15921,0.1696501476037937,0.618
MEX,2022,707,3202,17760,4284,22044,0.1943385955362003,0.586
MEX,2023,514,3010,16925,5636,22561,0.2498116218252737,0.549
MEX,2024,469,2142,11319,4923,16242,0.3031030661248615,0.505
MKD,2019,1,1,4,0,4,0.0,0.606
MKD,2020,125,146,487,118,605,0.1950413223140495,0.601
MKD,2021,200,328,1257,296,1553,0.1905988409529942,0.587
MKD,2022,260,389,1998,545,2543,0.2143138025953598,0.562
MKD,2023,245,375,1964,577,2541,0.2270759543486816,0.568
MKD,2024,238,312,1204,306,1510,0.2026490066225165,0.563
MNE,2012,1,1,1,2,3,0.6666666666666666,0.502
MNE,2013,1,2,6,4,10,0.4,0.476
MNE,2014,5,11,66,12,78,0.1538461538461538,0.466
MNE,2015,6,8,31,10,41,0.2439024390243902,0.466
MNE,2016,25,32,189,44,233,0.1888412017167382,0.464
MNE,2017,255,517,3087,811,3898,0.2080554130323242,0.454
MNE,2018,447,1122,7400,1934,9334,0.2071994857510178,0.463
MNE,2019,259,637,4114,1249,5363,0.2328920380384113,0.461
MNE,2020,38,64,304,164,468,0.3504273504273504,0.479
MNE,2021,453,571,2540,583,3123,0.1866794748639129,0.519
MNE,2022,255,303,1650,403,2053,0.1962981003409644,0.515
MNE,2023,206,258,1782,409,2191,0.1866727521679598,0.587
MNE,2024,428,613,3223,878,4101,0.2140941233845403,0.615
MNG,2015,2,3,1,3,4,0.75,0.681
MNG,2021,152,273,1044,223,1267,0.176006314127861,0.613
MNG,2022,140,285,1263,386,1649,0.2340812613705276,0.573
MNG,2023,153,408,2015,705,2720,0.2591911764705882,0.533
MNG,2024,189,543,2655,861,3516,0.2448805460750853,0.496
MOZ,2024,45,45,252,27,279,0.0967741935483871,0.304
MRT,2019,2,2,3,0,3,0.0,0.404
MRT,2020,69,69,569,32,601,0.0532445923460898,0.392
MRT,2021,199,200,1396,114,1510,0.0754966887417218,0.394
MRT,2022,323,400,2693,309,3002,0.1029313790806129,0.397
MRT,2023,346,348,2299,206,2505,0.0822355289421157,0.366
MRT,2024,72,72,556,74,630,0.1174603174603174,0.333
NER,2021,7,10,71,18,89,0.2022471910112359,0.518
NER,2022,13,15,90,13,103,0.1262135922330097,0.503
NER,2023,1,1,2,0,2,0.0,0.387
NER,2024,8,8,56,3,59,0.0508474576271186,0.24
NGA,2022,78,78,296,56,352,0.1590909090909091,0.492
NGA,2023,195,195,847,183,1030,0.1776699029126213,0.49
NGA,2024,91,91,351,84,435,0.193103448275862,0.502
NLD,2011,5,7,29,1,30,0.0333333333333333,0.874
NLD,2012,57,60,264,43,307,0.1400651465798045,0.871
NLD,2013,52,59,204,56,260,0.2153846153846154,0.876
NLD,2014,29,37,188,20,208,0.0961538461538461,0.88
NLD,2015,41,53,166,32,198,0.1616161616161616,0.88
NLD,2016,21,21,91,15,106,0.1415094339622641,0.88
NLD,2017,25,31,144,16,160,0.1,0.879
NLD,2018,24,24,116,34,150,0.2266666666666666,0.878
NLD,2019,22,87,469,246,715,0.344055944055944,0.861
NLD,2020,27,81,201,70,271,0.2583025830258302,0.857
NLD,2021,108,279,1244,359,1603,0.2239550842170929,0.863
NLD,2022,126,311,1599,586,2185,0.2681922196796338,0.852
NLD,2023,99,276,1131,326,1457,0.2237474262182567,0.843
NLD,2024,29,45,182,98,280,0.35,0.822
NOR,2021,15,21,78,12,90,0.1333333333333333,0.887
NOR,2022,85,112,422,104,526,0.1977186311787072,0.886
NOR,2023,97,141,648,136,784,0.173469387755102,0.884
NOR,2024,104,144,597,156,753,0.2071713147410358,0.884
NPL,2016,6,7,31,1,32,0.03125,0.661
NPL,2017,38,63,443,85,528,0.1609848484848484,0.658
NPL,2018,2,2,3,1,4,0.25,0.632
NPL,2019,2,3,10,0,10,0.0,0.601
NPL,2020,1,1,2,0,2,0.0,0.598
NPL,2024,1,1,7,3,10,0.3,0.669
NZL,2002,1,1,1,1,2,0.5,0.881
NZL,2004,9,9,31,2,33,0.0606060606060606,0.881
NZL,2005,5,5,20,4,24,0.1666666666666666,0.881
NZL,2006,37,37,106,17,123,0.1382113821138211,0.881
NZL,2007,59,59,203,47,250,0.188,0.881
NZL,2008,34,34,96,13,109,0.1192660550458715,0.883
NZL,2009,8,10,49,3,52,0.0576923076923076,0.895
NZL,2010,17,21,90,13,103,0.1262135922330097,0.896
NZL,2011,6,7,18,5,23,0.217391304347826,0.893
NZL,2012,18,19,75,11,86,0.127906976744186,0.893
NZL,2013,23,24,80,15,95,0.1578947368421052,0.887
NZL,2014,17,21,43,11,54,0.2037037037037037,0.886
NZL,2015,33,43,105,42,147,0.2857142857142857,0.887
NZL,2016,6,13,33,4,37,0.1081081081081081,0.887
NZL,2017,13,17,67,21,88,0.2386363636363636,0.884
NZL,2018,6,9,50,6,56,0.1071428571428571,0.888
NZL,2019,11,11,39,21,60,0.35,0.886
NZL,2020,2,2,5,5,10,0.5,0.883
NZL,2021,1,1,0,1,1,1.0,0.874
NZL,2022,4,4,14,12,26,0.4615384615384615,0.878
NZL,2023,2,2,9,4,13,0.3076923076923077,0.878
NZL,2024,4,4,21,2,23,0.0869565217391304,0.863
OMN,2020,6,6,15,2,17,0.1176470588235294,0.173
