country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,women_parl_pct,women_parl_ratio
BTN,2009,5,5,15,2,17,0.1176470588235294,0.1399999999999999,8.51063829787234,0.0851063829787234
BTN,2010,3,3,20,1,21,0.0476190476190476,0.0238095238095238,8.51063829787234,0.0851063829787234
BTN,2011,37,37,199,17,216,0.0787037037037037,0.0925899925899925,8.51063829787234,0.0851063829787234
BTN,2012,28,28,71,7,78,0.0897435897435897,0.081547619047619,8.51063829787234,0.0851063829787234
BTN,2013,37,37,173,24,197,0.1218274111675127,0.0937881937881937,6.38297872340426,0.06382978723404259
BTN,2014,42,41,269,42,311,0.135048231511254,0.1087213095681064,8.51063829787234,0.0851063829787234
BTN,2015,48,46,286,68,354,0.192090395480226,0.1903711324906977,8.51063829787234,0.0851063829787234
BTN,2016,131,126,545,100,645,0.1550387596899224,0.1577914699938509,8.51063829787234,0.0851063829787234
BTN,2017,136,135,757,148,905,0.1635359116022099,0.1397942423105821,8.51063829787234,0.0851063829787234
BTN,2018,155,150,951,227,1178,0.1926994906621392,0.1602643637366868,14.8936170212766,0.148936170212766
BTN,2019,155,151,1029,232,1261,0.1839809674861221,0.1853298584458755,14.8936170212766,0.148936170212766
BTN,2020,118,110,594,115,709,0.1622002820874471,0.1500522694774031,14.8936170212766,0.148936170212766
BTN,2021,192,184,852,178,1030,0.1728155339805825,0.1584567597779262,17.0212765957447,0.17021276595744697
BTN,2022,137,124,450,99,549,0.180327868852459,0.1820002683380292,17.3913043478261,0.173913043478261
BTN,2023,160,147,745,155,900,0.1722222222222222,0.1678845530886347,17.3913043478261,0.173913043478261
BTN,2024,125,124,548,114,662,0.1722054380664652,0.1715355577903016,4.25531914893617,0.0425531914893617
CAN,2015,33,33,150,29,179,0.1620111731843575,0.109052773825501,26.0355029585799,0.26035502958579904
