country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio
GRC,2019,125,205,607,73,680,0.10735294117647058
GRC,2020,155,231,539,55,594,0.09259259259259259
GRC,2021,154,212,499,45,544,0.08272058823529412
GRC,2022,212,299,849,102,951,0.10725552050473186
GRC,2023,159,215,588,69,657,0.1050228310502283
GRC,2024,185,252,652,97,749,0.1295060080106809
GTM,2018,18,25,157,76,233,0.3261802575107296
GTM,2019,288,772,4467,1292,5759,0.2243445042542108
GTM,2020,443,941,4592,939,5531,0.1697703851021515
GTM,2021,1491,3515,16467,3200,19667,0.16270910662531143
GTM,2022,1705,3416,18449,3835,22284,0.1720965715311434
GTM,2023,976,1853,9912,2307,12219,0.18880432113920942
GTM,2024,1531,4367,24505,7520,32025,0.23481654957064793
GUY,2017,3,3,18,2,20,0.1
GUY,2018,1,1,4,1,5,0.2
GUY,2019,5,5,8,9,17,0.5294117647058824
GUY,2020,4,5,8,0,8,0.0
GUY,2021,6,8,18,1,19,0.05263157894736842
GUY,2022,28,35,108,33,141,0.23404255319148937
GUY,2023,125,125,577,106,683,0.15519765739385066
GUY,2024,38,41,127,32,159,0.20125786163522014
HRV,2003,76,76,355,28,383,0.0731070496083551
HRV,2004,47,47,167,13,180,0.07222222222222222
HRV,2005,45,45,148,59,207,0.28502415458937197
HRV,2006,35,35,110,47,157,0.29936305732484075
HRV,2007,93,93,358,98,456,0.2149122807017544
HRV,2008,222,222,1066,153,1219,0.12551271534044298
HRV,2009,326,326,1565,182,1747,0.10417859187178019
HRV,2010,370,370,1830,256,2086,0.12272291466922339
HRV,2011,131,131,689,55,744,0.0739247311827957
HRV,2012,212,212,802,299,1101,0.27157129881925524
HRV,2014,2,3,13,1,14,0.07142857142857142
HRV,2015,72,121,799,90,889,0.10123734533183353
HRV,2017,80,80,621,128,749,0.17089452603471295
HRV,2018,78,78,513,98,611,0.16039279869067102
HRV,2019,77,77,569,108,677,0.15952732644017725
HRV,2020,49,51,219,43,262,0.16412213740458015
HRV,2021,300,321,1249,242,1491,0.16230717639168343
HRV,2022,207,438,2089,564,2653,0.2125895212966453
HRV,2023,196,476,2636,739,3375,0.21896296296296297
HRV,2024,146,461,2649,725,3374,0.2148784825133373
HUN,2011,2,2,12,2,14,0.14285714285714285
HUN,2012,29,34,170,38,208,0.18269230769230768
HUN,2013,44,56,292,30,322,0.09316770186335403
HUN,2014,340,561,2765,343,3108,0.11036036036036036
HUN,2015,616,1391,6543,685,7228,0.09477033757609298
HUN,2016,735,1722,7985,809,8794,0.09199454173299977
HUN,2017,717,1765,8430,1029,9459,0.10878528385664446
HUN,2018,464,1143,5316,639,5955,0.10730478589420656
HUN,2019,185,426,2069,226,2295,0.09847494553376906
HUN,2020,17,30,149,23,172,0.13372093023255813
HUN,2021,1,1,1,0,1,0.0
HUN,2022,3,10,35,14,49,0.2857142857142857
HUN,2023,2,3,37,10,47,0.2127659574468085
HUN,2024,3,4,12,1,13,0.07692307692307693
IDN,2014,199,199,1384,160,1544,0.10362694300518134
IDN,2015,699,709,4685,702,5387,0.13031371821050677
IDN,2016,732,739,5108,693,5801,0.11946216169625927
IDN,2017,636,638,4469,738,5207,0.14173228346456693
IDN,2018,1257,1261,8555,1519,10074,0.15078419694262457
IDN,2019,1571,1589,11714,2374,14088,0.1685122089721749
IDN,2020,1557,1557,7027,1214,8241,0.14731221939085062
IDN,2021,1676,1676,6622,1211,7833,0.1546023235031278
IDN,2022,1404,1405,8560,1412,9972,0.1415964701163257
IDN,2023,1339,1339,10456,1954,12410,0.15745366639806607
IDN,2024,1077,1079,8683,1648,10331,0.1595198915884232
IND,2011,1,4,23,2,25,0.08
IND,2012,1,1,10,0,10,0.0
IND,2013,1,1,11,1,12,0.08333333333333333
IND,2014,353,651,4082,383,4465,0.08577827547592386
IND,2015,481,1578,11555,1287,12842,0.10021803457405389
IND,2016,408,602,4322,434,4756,0.09125315391084945
IND,2017,326,498,3542,399,3941,0.10124333925399645
IND,2018,270,479,3541,553,4094,0.13507572056668296
IND,2019,240,328,2199,302,2501,0.1207516993202719
IND,2020,246,248,1231,169,1400,0.12071428571428572
IND,2021,468,476,1830,243,2073,0.11722141823444283
IND,2022,631,643,4116,655,4771,0.13728778033955147
IND,2023,714,733,3895,568,4463,0.1272686533721712
IND,2024,609,610,3253,520,3773,0.13782136231115824
IRL,2023,1,5,9,3,12,0.25
IRN,2013,61,389,2128,129,2257,0.057155516171909615
IRN,2014,68,1034,7305,416,7721,0.05387903121357337
IRN,2015,411,4931,38569,2618,41187,0.06356374584213466
IRN,2016,785,6884,56025,3559,59584,0.05973080021482277
IRN,2017,530,4507,38706,1995,40701,0.049015994693005084
IRN,2018,344,2051,15713,879,16592,0.052977338476374154
IRN,2019,270,2332,17973,808,18781,0.043022203290559606
IRN,2020,1134,8943,38876,1493,40369,0.03698382422155615
IRN,2021,1494,13981,79316,3951,83267,0.04744977001693348
IRN,2022,2554,15813,114611,7695,122306,0.06291596487498569
IRN,2023,1319,2030,12532,788,13320,0.05915915915915916
IRN,2024,721,721,2911,119,3030,0.03927392739273927
IRQ,2019,626,852,4183,493,4676,0.10543199315654406
IRQ,2020,878,1512,7927,744,8671,0.08580325222004383
IRQ,2021,731,1469,7275,734,8009,0.09164689724060432
IRQ,2022,541,863,3719,451,4170,0.10815347721822542
IRQ,2023,4,8,28,10,38,0.2631578947368421
IRQ,2024,742,1264,6989,715,7704,0.09280893042575286
ISL,2018,21,47,211,55,266,0.20676691729323307
ISL,2019,33,58,336,81,417,0.19424460431654678
ISL,2020,57,66,217,116,333,0.3483483483483483
ISL,2021,49,67,241,98,339,0.2890855457227139
ISL,2022,48,76,336,129,465,0.27741935483870966
ISL,2023,47,69,337,80,417,0.19184652278177458
ISL,2024,44,56,374,80,454,0.1762114537444934
ISR,2001,2,2,23,3,26,0.11538461538461539
ISR,2002,3,3,9,0,9,0.0
ISR,2005,6,6,18,0,18,0.0
ISR,2006,4,4,8,3,11,0.2727272727272727
ISR,2007,2,2,10,2,12,0.16666666666666666
ISR,2008,8,8,18,8,26,0.3076923076923077
ISR,2009,5,5,10,1,11,0.09090909090909091
ISR,2011,3,3,15,1,16,0.0625
ISR,2012,7,7,18,4,22,0.18181818181818182
ISR,2013,13,13,79,14,93,0.15053763440860216
ISR,2014,17,17,105,8,113,0.07079646017699115
ISR,2015,11,11,32,3,35,0.08571428571428572
ISR,2016,4,4,20,0,20,0.0
ISR,2017,4,4,17,2,19,0.10526315789473684
ISR,2018,236,236,854,91,945,0.0962962962962963
ISR,2019,63,63,235,29,264,0.10984848484848485
ISR,2020,98,98,286,36,322,0.11180124223602485
ISR,2021,252,252,940,129,1069,0.12067352666043031
ISR,2022,258,258,1131,161,1292,0.12461300309597523
ISR,2023,193,193,1028,156,1184,0.13175675675675674
ISR,2024,46,46,223,27,250,0.108
ITA,2014,7,7,31,5,36,0.1388888888888889
ITA,2015,7,7,12,6,18,0.3333333333333333
ITA,2016,3,5,55,12,67,0.1791044776119403
ITA,2017,36,47,206,26,232,0.11206896551724138
ITA,2018,24,29,114,6,120,0.05
ITA,2019,42,52,329,63,392,0.16071428571428573
ITA,2020,7,15,57,9,66,0.13636363636363635
ITA,2021,7,8,28,7,35,0.2
ITA,2022,35,35,171,51,222,0.22972972972972974
ITA,2023,272,281,763,377,1140,0.3307017543859649
ITA,2024,220,232,794,369,1163,0.3172828890799656
JAM,2016,44,44,196,40,236,0.1694915254237288
JAM,2017,127,127,749,153,902,0.1696230598669623
JAM,2018,87,87,470,105,575,0.1826086956521739
JAM,2019,101,115,562,94,656,0.14329268292682926
JAM,2020,70,99,381,44,425,0.10352941176470588
JAM,2021,61,67,211,30,241,0.12448132780082988
JAM,2022,96,110,510,88,598,0.14715719063545152
JAM,2023,32,37,168,41,209,0.19617224880382775
JAM,2024,109,111,609,135,744,0.1814516129032258
JOR,2021,20,20,90,15,105,0.14285714285714285
JOR,2022,19,19,91,14,105,0.13333333333333333
JOR,2023,42,42,122,28,150,0.18666666666666668
JOR,2024,41,45,261,62,323,0.19195046439628483
JPN,1998,1,1,1,0,1,0.0
JPN,2001,1,1,1,1,2,0.5
JPN,2008,1,2,3,1,4,0.25
JPN,2009,1,2,11,0,11,0.0
JPN,2013,35,69,363,39,402,0.09701492537313433
JPN,2014,54,112,588,60,648,0.09259259259259259
JPN,2015,65,123,658,68,726,0.09366391184573003
JPN,2016,83,191,1118,116,1234,0.0940032414910859
JPN,2017,99,314,1947,153,2100,0.07285714285714286
JPN,2018,163,398,2115,189,2304,0.08203125
JPN,2019,95,251,1227,116,1343,0.08637379002233805
JPN,2020,40,86,389,39,428,0.0911214953271028
JPN,2021,75,169,547,68,615,0.11056910569105691
JPN,2022,347,1301,9383,1076,10459,0.102877904197342
JPN,2023,845,3758,28152,4096,32248,0.12701562887620937
JPN,2024,577,3312,30288,4536,34824,0.1302549965541006
KAZ,2012,11,17,162,19,181,0.10497237569060773
KAZ,2013,15,31,230,33,263,0.12547528517110265
KAZ,2014,195,295,2237,311,2548,0.12205651491365777
KAZ,2015,138,275,2734,525,3259,0.16109235961951518
KAZ,2016,145,368,3287,416,3703,0.11234134485552255
KAZ,2017,181,485,4382,664,5046,0.13158937772493065
KAZ,2018,195,677,6430,977,7407,0.13190225462400432
KAZ,2019,227,880,7306,1135,8441,0.13446274138135292
KAZ,2020,108,516,4038,353,4391,0.08039171031655659
KAZ,2021,141,431,2084,153,2237,0.06839517210549843
KAZ,2022,145,642,4197,556,4753,0.1169787502629918
KAZ,2023,143,664,4596,632,5228,0.12088752869166029
KAZ,2024,79,412,3147,568,3715,0.1528936742934051
KEN,2022,2,2,7,2,9,0.2222222222222222
KEN,2023,1,1,10,7,17,0.4117647058823529
KEN,2024,141,155,1467,272,1739,0.156411730879816
KGZ,2018,29,60,285,61,346,0.17630057803468208
KGZ,2019,915,3841,22908,4753,27661,0.17183037489606304
KGZ,2020,1388,6877,37157,5309,42466,0.12501766118777374
KGZ,2021,2180,11379,64964,11113,76077,0.1460756864755445
KGZ,2022,1952,10509,64006,12696,76702,0.16552371515736225
KGZ,2023,1560,6673,38027,7677,45704,0.16797216873796605
KGZ,2024,1588,6602,39224,7190,46414,0.15491015641832206
KHM,2016,33,118,650,44,694,0.06340057636887608
KHM,2017,450,3021,25943,5188,31131,0.16665060550576596
KHM,2018,581,4505,37610,7347,44957,0.16342282625620036
KHM,2019,688,5154,42588,7130,49718,0.14340882577738445
KHM,2020,293,2357,19373,3591,22964,0.15637519595889218
KHM,2021,202,1361,9550,1072,10622,0.1009226134437959
KHM,2022,646,5158,43080,7001,50081,0.13979353447415188
KHM,2023,955,10941,88800,21557,110357,0.195338764192575
KHM,2024,1124,6696,46808,9601,56409,0.17020333634703683
KOR,2013,3,8,55,5,60,0.08333333333333333
KOR,2014,352,1167,7312,1184,8496,0.1393596986817326
KOR,2015,405,1277,7791,1458,9249,0.15763866363931237
KOR,2016,615,1167,6807,1320,8127,0.162421557770395
KOR,2017,642,932,4736,720,5456,0.13196480938416422
KOR,2018,621,960,5056,1118,6174,0.18108195659216067
KOR,2019,478,704,3561,722,4283,0.16857342983889798
KOR,2020,400,465,1842,422,2264,0.18639575971731448
KOR,2021,312,410,1843,336,2179,0.15419917393299679
KOR,2022,233,339,1708,324,2032,0.1594488188976378
KOR,2023,366,545,3203,670,3873,0.17299251226439452
KOR,2024,313,369,2227,471,2698,0.17457375833951075
KWT,2023,189,189,949,168,1117,0.1504028648164727
KWT,2024,100,100,492,126,618,0.20388349514563106
LBR,2011,9,9,16,8,24,0.3333333333333333
LBR,2012,24,24,18,14,32,0.4375
LBR,2013,64,64,121,30,151,0.1986754966887417
LBR,2014,180,180,532,97,629,0.15421303656597773
LBR,2015,200,200,370,125,495,0.25252525252525254
LBR,2016,222,222,418,159,577,0.2755632582322357
LBR,2017,189,189,411,123,534,0.2303370786516854
LBR,2018,179,179,534,39,573,0.06806282722513089
LBR,2019,148,148,397,27,424,0.06367924528301887
LBR,2020,112,112,229,19,248,0.07661290322580645
LBR,2021,72,72,184,18,202,0.0891089108910891
LBR,2022,9,10,15,3,18,0.16666666666666666
LBR,2023,13,13,30,4,34,0.11764705882352941
LBR,2024,121,123,325,70,395,0.17721518987341772
LKA,2015,1,1,2,0,2,0.0
LKA,2016,1,1,2,0,2,0.0
LKA,2018,1,4,44,4,48,0.08333333333333333
LKA,2019,6,10,66,9,75,0.12
LKA,2020,10,15,70,15,85,0.17647058823529413
LKA,2021,7,15,59,18,77,0.23376623376623376
LKA,2023,7,31,151,31,182,0.17032967032967034
LKA,2024,1,4,12,6,18,0.3333333333333333
LSO,2023,40,55,302,73,375,0.19466666666666665
LSO,2024,47,47,245,40,285,0.14035087719298245
LTU,2020,11,11,19,14,33,0.42424242424242425
LTU,2021,183,183,301,205,506,0.4051383399209486
LTU,2022,169,169,585,239,824,0.29004854368932037
LTU,2023,134,134,396,207,603,0.34328358208955223
LTU,2024,132,143,455,223,678,0.32890855457227136
LUX,2018,2,35,317,80,397,0.20151133501259447
LUX,2019,3,61,707,170,877,0.19384264538198404
LUX,2020,9,38,275,16,291,0.054982817869415807
LUX,2021,1,2,2,2,4,0.5
LUX,2022,19,355,2273,499,2772,0.18001443001443002
LUX,2023,20,258,1431,249,1680,0.14821428571428572
LUX,2024,48,570,3837,824,4661,0.17678609740399057
LVA,2015,1,1,8,5,13,0.38461538461538464
LVA,2016,86,86,576,59,635,0.09291338582677165
LVA,2017,43,43,191,11,202,0.054455445544554455
LVA,2018,58,60,305,56,361,0.15512465373961218
LVA,2019,43,48,188,26,214,0.12149532710280374
LVA,2020,229,419,1498,326,1824,0.1787280701754386
LVA,2021,260,333,1050,214,1264,0.16930379746835442
LVA,2022,289,309,1441,517,1958,0.2640449438202247
LVA,2023,326,455,2214,865,3079,0.28093536862617735
LVA,2024,406,602,2807,1177,3984,0.29543172690763053
MAR,2020,501,519,1336,160,1496,0.10695187165775401
MAR,2021,358,369,867,95,962,0.09875259875259876
MAR,2022,432,449,1290,157,1447,0.10850034554250172
MAR,2023,392,401,1114,147,1261,0.11657414750198256
MAR,2024,273,278,714,100,814,0.12285012285012285
MDA,2014,6,62,428,47,475,0.09894736842105263
MDA,2015,68,653,2748,459,3207,0.1431244153414406
MDA,2016,100,1336,6375,1087,7462,0.14567140176896273
MDA,2017,113,1625,7820,1597,9417,0.16958691727726452
MDA,2018,125,1658,7685,1538,9223,0.16675702049224764
MDA,2019,144,1196,5532,1358,6890,0.19709724238026124
MDA,2020,470,4422,18095,2934,21029,0.1395216130106044
MDA,2021,472,2674,9734,2257,11991,0.18822450170961555
MDA,2022,619,6276,27706,9523,37229,0.25579521340890166
MDA,2023,279,2841,13291,4172,17463,0.23890511366889997
MDA,2024,437,3535,17447,5326,22773,0.23387344662538972
MDG,2021,4,6,42,10,52,0.19230769230769232
MDG,2022,102,149,1211,238,1449,0.1642512077294686
MDG,2023,76,102,743,151,894,0.16890380313199105
MDG,2024,133,139,730,246,976,0.2520491803278688
MDV,2009,240,242,1225,121,1346,0.08989598811292719
MDV,2010,358,360,1851,231,2082,0.11095100864553314
MDV,2011,549,996,5318,863,6181,0.13962142048212264
MDV,2012,662,1100,5539,836,6375,0.1311372549019608
MDV,2013,518,845,3385,627,4012,0.15628115653040878
MDV,2014,537,884,3746,762,4508,0.16903283052351376
MDV,2015,368,631,2813,654,3467,0.1886357081049899
MDV,2016,311,555,2980,644,3624,0.17770419426048564
MDV,2017,356,625,3552,682,4234,0.161076995748701
MDV,2018,420,489,2876,601,3477,0.1728501581823411
MDV,2019,856,1707,9727,1882,11609,0.16211559996554398
MDV,2020,363,575,2780,446,3226,0.13825170489770613
MDV,2021,560,1238,5860,959,6819,0.1406364569584983
MDV,2022,625,1460,7390,1503,8893,0.16900933318340267
MDV,2023,652,1280,5719,1125,6844,0.16437755698421974
MDV,2024,1074,2301,9835,2273,12108,0.1877271225635943
MEX,2015,3,5,29,4,33,0.12121212121212122
MEX,2016,1,3,27,6,33,0.18181818181818182
MEX,2017,164,481,2929,563,3492,0.16122565864833907
MEX,2018,181,327,2116,384,2500,0.1536
MEX,2019,974,1712,9599,2084,11683,0.17837884105109988
MEX,2020,282,663,3481,706,4187,0.16861714831621685
MEX,2021,668,2701,13220,2701,15921,0.16965014760379374
MEX,2022,707,3202,17760,4284,22044,0.19433859553620034
MEX,2023,514,3010,16925,5636,22561,0.2498116218252737
MEX,2024,469,2142,11319,4923,16242,0.3031030661248615
MKD,2019,1,1,4,0,4,0.0
MKD,2020,125,146,487,118,605,0.19504132231404958
MKD,2021,200,328,1257,296,1553,0.1905988409529942
MKD,2022,260,389,1998,545,2543,0.21431380259535981
MKD,2023,245,375,1964,577,2541,0.2270759543486816
MKD,2024,238,312,1204,306,1510,0.20264900662251656
MNE,2012,1,1,1,2,3,0.6666666666666666
MNE,2013,1,2,6,4,10,0.4
MNE,2014,5,11,66,12,78,0.15384615384615385
MNE,2015,6,8,31,10,41,0.24390243902439024
MNE,2016,25,32,189,44,233,0.1888412017167382
MNE,2017,255,517,3087,811,3898,0.20805541303232428
MNE,2018,447,1122,7400,1934,9334,0.2071994857510178
MNE,2019,259,637,4114,1249,5363,0.23289203803841133
MNE,2020,38,64,304,164,468,0.3504273504273504
MNE,2021,453,571,2540,583,3123,0.1866794748639129
MNE,2022,255,303,1650,403,2053,0.19629810034096445
MNE,2023,206,258,1782,409,2191,0.18667275216795984
MNE,2024,428,613,3223,878,4101,0.21409412338454037
MNG,2015,2,3,1,3,4,0.75
MNG,2021,152,273,1044,223,1267,0.17600631412786108
MNG,2022,140,285,1263,386,1649,0.2340812613705276
MNG,2023,153,408,2015,705,2720,0.25919117647058826
MNG,2024,189,543,2655,861,3516,0.24488054607508533
MOZ,2024,45,45,252,27,279,0.0967741935483871
MRT,2019,2,2,3,0,3,0.0
MRT,2020,69,69,569,32,601,0.05324459234608985
MRT,2021,199,200,1396,114,1510,0.07549668874172186
MRT,2022,323,400,2693,309,3002,0.10293137908061292
MRT,2023,346,348,2299,206,2505,0.08223552894211576
MRT,2024,72,72,556,74,630,0.11746031746031746
NER,2021,7,10,71,18,89,0.20224719101123595
NER,2022,13,15,90,13,103,0.1262135922330097
NER,2023,1,1,2,0,2,0.0
NER,2024,8,8,56,3,59,0.05084745762711865
NGA,2022,78,78,296,56,352,0.1590909090909091
NGA,2023,195,195,847,183,1030,0.17766990291262136
NGA,2024,91,91,351,84,435,0.19310344827586207
NLD,2011,5,7,29,1,30,0.03333333333333333
NLD,2012,57,60,264,43,307,0.14006514657980457
NLD,2013,52,59,204,56,260,0.2153846153846154
NLD,2014,29,37,188,20,208,0.09615384615384616
NLD,2015,41,53,166,32,198,0.16161616161616163
NLD,2016,21,21,91,15,106,0.14150943396226415
NLD,2017,25,31,144,16,160,0.1
NLD,2018,24,24,116,34,150,0.22666666666666666
NLD,2019,22,87,469,246,715,0.34405594405594403
NLD,2020,27,81,201,70,271,0.25830258302583026
NLD,2021,108,279,1244,359,1603,0.22395508421709295
NLD,2022,126,311,1599,586,2185,0.26819221967963386
NLD,2023,99,276,1131,326,1457,0.2237474262182567
NLD,2024,29,45,182,98,280,0.35
NOR,2021,15,21,78,12,90,0.13333333333333333
NOR,2022,85,112,422,104,526,0.19771863117870722
NOR,2023,97,141,648,136,784,0.17346938775510204
NOR,2024,104,144,597,156,753,0.20717131474103587
NPL,2016,6,7,31,1,32,0.03125
NPL,2017,38,63,443,85,528,0.16098484848484848
NPL,2018,2,2,3,1,4,0.25
NPL,2019,2,3,10,0,10,0.0
NPL,2020,1,1,2,0,2,0.0
NPL,2024,1,1,7,3,10,0.3
NZL,2002,1,1,1,1,2,0.5
NZL,2004,9,9,31,2,33,0.06060606060606061
NZL,2005,5,5,20,4,24,0.16666666666666666
NZL,2006,37,37,106,17,123,0.13821138211382114
NZL,2007,59,59,203,47,250,0.188
NZL,2008,34,34,96,13,109,0.11926605504587157
NZL,2009,8,10,49,3,52,0.057692307692307696
NZL,2010,17,21,90,13,103,0.1262135922330097
NZL,2011,6,7,18,5,23,0.21739130434782608
NZL,2012,18,19,75,11,86,0.12790697674418605
NZL,2013,23,24,80,15,95,0.15789473684210525
NZL,2014,17,21,43,11,54,0.2037037037037037
NZL,2015,33,43,105,42,147,0.2857142857142857
NZL,2016,6,13,33,4,37,0.10810810810810811
NZL,2017,13,17,67,21,88,0.23863636363636365
NZL,2018,6,9,50,6,56,0.10714285714285714
NZL,2019,11,11,39,21,60,0.35
NZL,2020,2,2,5,5,10,0.5
NZL,2021,1,1,0,1,1,1.0
NZL,2022,4,4,14,12,26,0.46153846153846156
NZL,2023,2,2,9,4,13,0.3076923076923077
NZL,2024,4,4,21,2,23,0.08695652173913043
OMN,2020,6,6,15,2,17,0.11764705882352941
OMN,2021,183,250,959,258,1217,0.21199671322925226
OMN,2022,290,482,2710,434,3144,0.13804071246819338
OMN,2023,507,1025,5556,873,6429,0.13579094727018198
OMN,2024,315,777,4562,866,5428,0.15954310980103167
PAK,2023,4,4,8,1,9,0.1111111111111111
PAK,2024,1,7,74,6,80,0.075
PAN,2010,185,185,1058,176,1234,0.1426256077795786
PAN,2011,363,363,1950,436,2386,0.18273260687342832
PAN,2012,690,690,3476,831,4307,0.19294172277687485
PAN,2013,633,633,3174,885,4059,0.2180339985218034
PAN,2014,582,582,2876,1029,3905,0.26350832266325225
PAN,2015,667,667,3457,1443,4900,0.2944897959183673
PAN,2016,873,873,4608,1683,6291,0.2675250357653791
PAN,2017,733,733,4066,1775,5841,0.3038863208354734
PAN,2018,716,720,3951,1995,5946,0.3355196770938446
PAN,2019,482,782,4938,2372,7310,0.3244870041039672
PAN,2020,343,913,4405,2145,6550,0.32748091603053436
PAN,2021,635,1156,4952,2351,7303,0.3219224976037245
PAN,2022,986,2026,9025,4981,14006,0.3556333000142796
PAN,2023,1106,3195,15553,8515,24068,0.3537892637527007
PAN,2024,774,2875,14889,7762,22651,0.3426780274601563
PER,2018,979,1298,8725,3111,11836,0.26284217641094965
PER,2019,1576,2159,13628,5125,18753,0.27328960699621396
PER,2020,254,480,2733,842,3575,0.23552447552447553
PER,2021,435,1454,7198,1749,8947,0.1954845199508215
PER,2022,911,4559,24255,8421,32676,0.2577120822622108
PER,2023,1511,8865,51004,20053,71057,0.2822100567150316
PER,2024,2134,12600,69522,29115,98637,0.2951732108640774
PHL,1950,1,1,4,6,10,0.6
PHL,2000,1,1,3,0,3,0.0
PHL,2002,3,4,19,3,22,0.13636363636363635
PHL,2013,305,546,5703,1969,7672,0.2566475495307612
PHL,2014,1014,1416,15043,5272,20315,0.25951267536303224
PHL,2015,788,1031,10022,3687,13709,0.2689474068130425
PHL,2016,918,1333,13254,5570,18824,0.2958988525286868
PHL,2017,1010,1683,12382,4946,17328,0.28543397968605727
PHL,2018,1342,2468,16905,6950,23855,0.29134353385034584
PHL,2019,1216,2566,17853,7981,25834,0.3089339629945034
PHL,2020,942,1631,9606,3529,13135,0.26867148838979826
PHL,2021,802,1004,4722,1300,6022,0.2158751245433411
PHL,2022,893,1244,8252,2736,10988,0.24899890789952675
PHL,2023,1515,2141,14466,5208,19674,0.26471485208905154
PHL,2024,1601,1693,9818,2533,12351,0.20508460853372196
POL,2001,1,1,2,0,2,0.0
POL,2018,7,7,27,10,37,0.2702702702702703
POL,2019,270,281,1875,383,2258,0.1696191319751993
POL,2020,211,504,2103,228,2331,0.0978120978120978
POL,2021,390,1760,8537,1368,9905,0.1381120646138314
POL,2022,497,2432,13970,2702,16672,0.16206813819577734
POL,2023,345,1512,9352,2009,11361,0.17683302526186076
POL,2024,390,1264,7223,1897,9120,0.20800438596491228
PRK,2017,51,544,2917,209,3126,0.06685860524632117
PRK,2018,103,1287,7255,927,8182,0.1132974822781716
PRK,2019,63,554,2967,409,3376,0.12114928909952606
PRT,2016,4,4,12,1,13,0.07692307692307693
PRT,2017,5,5,13,0,13,0.0
PRT,2021,127,133,559,76,635,0.11968503937007874
PRT,2022,169,174,903,197,1100,0.17909090909090908
PRT,2023,162,167,966,209,1175,0.1778723404255319
PRT,2024,115,118,672,136,808,0.16831683168316833
PRY,2019,174,256,1503,556,2059,0.27003399708596404
PRY,2020,336,544,2474,552,3026,0.18241903502974224
PRY,2021,82,121,631,173,804,0.21517412935323382
PRY,2022,231,552,3159,1137,4296,0.26466480446927376
PRY,2023,40,97,559,181,740,0.2445945945945946
PSE,2019,115,115,358,37,395,0.09367088607594937
PSE,2020,3,3,4,0,4,0.0
PSE,2021,5,5,6,0,6,0.0
PSE,2022,3,3,4,0,4,0.0
PSE,2023,11,11,77,11,88,0.125
PSE,2024,39,39,137,49,186,0.26344086021505375
QAT,2012,1,1,2,0,2,0.0
QAT,2013,1,1,1,0,1,0.0
QAT,2014,51,51,134,17,151,0.11258278145695365
QAT,2015,127,127,246,32,278,0.11510791366906475
QAT,2016,92,92,292,45,337,0.13353115727002968
QAT,2017,544,544,1722,285,2007,0.14200298953662183
QAT,2018,686,686,2346,382,2728,0.14002932551319647
QAT,2019,764,764,2860,509,3369,0.15108340753932917
QAT,2020,586,586,2058,409,2467,0.16578840697203082
QAT,2021,1024,1024,3139,666,3805,0.1750328515111695
QAT,2022,1104,1104,4493,908,5401,0.16811701536752452
QAT,2023,1324,1324,4927,1199,6126,0.19572314724126674
QAT,2024,1214,1214,4908,1384,6292,0.2199618563254927
ROU,2012,92,362,1591,123,1714,0.07176196032672112
ROU,2013,160,1238,6696,713,7409,0.09623430962343096
ROU,2014,254,2580,14828,1894,16722,0.11326396364071284
ROU,2015,141,1393,7073,906,7979,0.1135480636671262
ROU,2016,178,249,1271,183,1454,0.12585969738651995
ROU,2017,167,167,964,98,1062,0.09227871939736347
ROU,2018,215,254,1040,328,1368,0.23976608187134502
ROU,2019,216,217,1076,256,1332,0.1921921921921922
ROU,2020,298,298,1313,106,1419,0.07470049330514447
ROU,2021,217,230,781,78,859,0.09080325960419092
ROU,2022,450,465,2502,285,2787,0.10226049515608181
ROU,2023,314,336,1787,267,2054,0.1299902629016553
ROU,2024,274,306,1620,310,1930,0.16062176165803108
RUS,1999,8,9,26,1,27,0.037037037037037035
RUS,2000,522,764,4588,230,4818,0.047737650477376506
RUS,2001,463,714,4105,172,4277,0.04021510404489128
RUS,2002,423,711,3644,200,3844,0.05202913631633715
RUS,2003,567,952,4864,342,5206,0.06569343065693431
RUS,2004,567,723,3563,224,3787,0.059149722735674676
RUS,2005,478,664,3391,202,3593,0.05622042861118842
RUS,2006,467,623,3273,166,3439,0.04826984588543181
RUS,2007,431,769,4239,307,4546,0.0675318961724593
RUS,2008,605,946,4576,276,4852,0.05688375927452597
RUS,2009,704,1176,5921,446,6367,0.07004868855033768
RUS,2010,682,2109,11638,1040,12678,0.08203186622495662
RUS,2011,601,2138,11443,1387,12830,0.10810600155884645
RUS,2012,545,1961,10925,942,11867,0.07937979270245218
RUS,2013,612,2722,14921,1360,16281,0.08353295252134389
RUS,2014,671,2818,17044,1900,18944,0.10029560810810811
RUS,2015,653,2529,14729,1701,16430,0.10353012781497262
RUS,2016,664,2644,15570,1456,17026,0.08551626923528721
RUS,2017,719,3711,22348,2649,24997,0.10597271672600712
RUS,2018,713,3834,24077,3022,27099,0.11151703014871397
RUS,2019,679,4058,24907,2853,27760,0.10277377521613833
RUS,2020,429,1513,6774,878,7652,0.11474124411918453
RUS,2021,461,1596,6035,760,6795,0.11184694628403238
RUS,2022,478,1766,6547,867,7414,0.11694092257890477
RUS,2023,560,3086,13649,1541,15190,0.10144832126398946
RUS,2024,596,3787,18777,2313,21090,0.1096728307254623
RWA,2017,46,46,338,52,390,0.13333333333333333
RWA,2018,33,35,262,47,309,0.15210355987055016
RWA,2019,125,127,1243,126,1369,0.09203798392987582
