country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio
BGR,2024,263,574,2911,1295,4206,0.3078934854969092
BHR,2009,7,9,43,5,48,0.10416666666666667
BHR,2010,9,12,40,11,51,0.21568627450980393
BHR,2011,5,5,9,3,12,0.25
BHR,2012,95,221,806,141,947,0.14889123548046462
BHR,2013,174,650,3129,709,3838,0.18473163105784263
BHR,2014,227,1117,6002,1162,7164,0.1621998883305416
BHR,2015,200,1304,6710,1334,8044,0.16583789159622078
BHR,2016,170,1225,6885,1592,8477,0.18780228854547598
BHR,2017,229,1290,6860,1519,8379,0.18128654970760233
BHR,2018,184,1159,6405,1736,8141,0.21324161650902837
BHR,2019,160,1005,5539,1593,7132,0.2233595064498037
BHR,2020,282,857,4266,1200,5466,0.21953896816684962
BHR,2021,510,1425,4681,1939,6620,0.2929003021148036
BHR,2022,585,1586,7015,2443,9458,0.2582998519771622
BHR,2023,614,1844,9066,2641,11707,0.22559152643717434
BHR,2024,400,1908,9739,3332,13071,0.2549154617091271
BHS,2015,3,6,36,10,46,0.21739130434782608
BHS,2016,251,445,2499,664,3163,0.20992728422383813
BHS,2017,242,434,2206,650,2856,0.22759103641456582
BHS,2018,41,56,327,100,427,0.234192037470726
BHS,2019,16,36,163,36,199,0.18090452261306533
BHS,2020,13,21,58,13,71,0.18309859154929578
BHS,2021,37,72,336,59,395,0.14936708860759493
BHS,2022,51,86,388,76,464,0.16379310344827586
BHS,2023,62,84,372,123,495,0.24848484848484848
BHS,2024,102,137,576,234,810,0.28888888888888886
BIH,2012,35,151,1029,125,1154,0.10831889081455806
BIH,2013,54,246,1584,231,1815,0.12727272727272726
BIH,2014,41,233,1461,209,1670,0.1251497005988024
BIH,2015,19,64,387,51,438,0.11643835616438356
BIH,2016,4,7,25,3,28,0.10714285714285714
BIH,2020,173,335,1284,342,1626,0.21033210332103322
BIH,2021,444,860,4361,969,5330,0.18180112570356471
BIH,2022,842,1683,10105,2169,12274,0.17671500733257292
BIH,2023,1082,2445,13882,3365,17247,0.19510639531512727
BIH,2024,749,1506,8341,2314,10655,0.21717503519474426
BLR,2000,1,3,11,0,11,0.0
BLR,2011,11,17,109,6,115,0.05217391304347826
BLR,2012,10,30,179,10,189,0.05291005291005291
BLR,2013,54,98,462,35,497,0.07042253521126761
BLR,2014,89,169,985,123,1108,0.11101083032490974
BLR,2015,126,195,1028,124,1152,0.1076388888888889
BLR,2016,200,300,1768,269,2037,0.13205694648993618
BLR,2017,153,300,1712,284,1996,0.14228456913827656
BLR,2018,96,199,1069,193,1262,0.15293185419968305
BLR,2019,101,176,1003,158,1161,0.13608957795004306
BLR,2020,77,135,565,82,647,0.1267387944358578
BLR,2021,105,122,512,51,563,0.0905861456483126
BLR,2022,108,151,608,78,686,0.11370262390670553
BLR,2023,94,181,788,78,866,0.09006928406466513
BLR,2024,135,1560,7531,1333,8864,0.15038357400722022
BLZ,2019,6,6,40,10,50,0.2
BLZ,2020,23,30,101,12,113,0.10619469026548672
BLZ,2021,107,136,658,81,739,0.10960757780784844
BLZ,2022,160,208,1168,254,1422,0.17862165963431786
BLZ,2023,151,207,1273,317,1590,0.19937106918238995
BLZ,2024,115,150,935,281,1216,0.23108552631578946
BOL,2013,37,40,179,28,207,0.13526570048309178
BOL,2014,151,151,765,175,940,0.18617021276595744
BOL,2015,187,199,927,263,1190,0.22100840336134453
BOL,2016,187,705,4048,869,4917,0.1767337807606264
BOL,2017,231,1089,6412,1415,7827,0.1807844640347515
BOL,2018,176,982,5452,1127,6579,0.17130262957896336
BOL,2019,233,1100,6770,1565,8335,0.1877624475104979
BOL,2020,76,156,866,254,1120,0.22678571428571428
BOL,2021,302,666,3246,653,3899,0.1674788407283919
BOL,2022,127,248,1552,359,1911,0.1878597592883307
BOL,2023,215,1027,5084,1383,6467,0.2138549559301067
BOL,2024,194,721,4018,1378,5396,0.2553743513713862
BRA,2012,2,2,3,0,3,0.0
BRA,2014,19,20,84,13,97,0.13402061855670103
BRA,2015,85,185,1064,109,1173,0.09292412617220801
BRA,2016,53,159,797,121,918,0.1318082788671024
BRA,2017,14,18,57,7,64,0.109375
BRA,2018,14,15,99,16,115,0.1391304347826087
BRA,2019,15,16,113,12,125,0.096
BRN,2015,6,6,24,3,27,0.1111111111111111
BRN,2016,21,27,104,19,123,0.15447154471544716
BRN,2017,8,8,33,6,39,0.15384615384615385
BRN,2018,4,4,10,1,11,0.09090909090909091
BRN,2019,12,12,49,9,58,0.15517241379310345
BRN,2020,6,6,23,3,26,0.11538461538461539
BRN,2021,11,11,39,4,43,0.09302325581395349
BRN,2022,11,11,27,3,30,0.1
BRN,2023,11,13,53,12,65,0.18461538461538463
BRN,2024,5,5,18,3,21,0.14285714285714285
BTN,2008,1,1,2,0,2,0.0
BTN,2009,4,5,15,2,17,0.11764705882352941
BTN,2010,3,3,20,1,21,0.047619047619047616
BTN,2011,6,37,199,17,216,0.0787037037037037
BTN,2012,18,28,71,7,78,0.08974358974358974
BTN,2013,29,37,173,24,197,0.1218274111675127
BTN,2014,36,41,269,42,311,0.13504823151125403
BTN,2015,27,46,286,68,354,0.192090395480226
BTN,2016,76,126,545,100,645,0.15503875968992248
BTN,2017,79,135,757,148,905,0.16353591160220995
BTN,2018,70,150,951,227,1178,0.1926994906621392
BTN,2019,86,151,1029,232,1261,0.18398096748612214
BTN,2020,49,110,594,115,709,0.1622002820874471
BTN,2021,79,184,852,178,1030,0.17281553398058253
BTN,2022,56,124,450,99,549,0.18032786885245902
BTN,2023,59,147,745,155,900,0.17222222222222222
BTN,2024,86,124,548,114,662,0.17220543806646527
CAN,2015,33,33,150,29,179,0.16201117318435754
CAN,2016,131,139,876,255,1131,0.22546419098143236
CAN,2017,78,78,385,84,469,0.1791044776119403
CAN,2018,49,49,158,21,179,0.11731843575418995
CAN,2019,54,54,163,17,180,0.09444444444444444
CAN,2020,21,21,87,7,94,0.07446808510638298
CAN,2021,21,21,64,23,87,0.26436781609195403
CAN,2022,1,1,11,7,18,0.3888888888888889
CHE,2012,1,1,3,4,7,0.5714285714285714
CHE,2013,2,2,8,2,10,0.2
CHE,2014,58,67,260,60,320,0.1875
CHE,2015,108,112,456,76,532,0.14285714285714285
CHE,2016,82,84,373,70,443,0.1580135440180587
CHE,2017,75,78,352,75,427,0.1756440281030445
CHE,2018,68,70,347,63,410,0.15365853658536585
CHE,2019,54,60,326,65,391,0.16624040920716113
CHE,2020,16,18,94,11,105,0.10476190476190476
CHE,2021,13,13,79,8,87,0.09195402298850575
CHE,2022,9,9,36,6,42,0.14285714285714285
CHE,2023,8,8,25,5,30,0.16666666666666666
CHE,2024,10,10,25,10,35,0.2857142857142857
CHL,2015,11,32,181,79,260,0.3038461538461538
CHL,2016,3,21,25,27,52,0.5192307692307693
CHL,2018,5,8,52,32,84,0.38095238095238093
CHL,2019,140,236,1293,244,1537,0.15875081327260898
CHL,2020,65,142,607,136,743,0.18304172274562583
CHL,2021,108,283,1153,290,1443,0.20097020097020096
CHL,2022,44,140,680,341,1021,0.3339862879529873
CHL,2023,112,417,2185,709,2894,0.24498963372494817
CHL,2024,114,308,1671,562,2233,0.251679355127631
CHN,2014,8,8,41,3,44,0.06818181818181818
CHN,2015,7,8,41,4,45,0.08888888888888889
CHN,2016,2,2,13,0,13,0.0
CHN,2018,2,2,5,1,6,0.16666666666666666
CHN,2019,2,2,23,0,23,0.0
CHN,2020,4,4,21,0,21,0.0
CHN,2021,5,6,56,2,58,0.034482758620689655
CHN,2022,5,5,12,2,14,0.14285714285714285
CHN,2023,3,3,24,7,31,0.22580645161290322
CIV,2007,16,16,80,9,89,0.10112359550561797
CIV,2008,22,22,96,5,101,0.04950495049504951
CIV,2009,4,4,8,2,10,0.2
CIV,2010,4,4,19,0,19,0.0
CIV,2011,15,15,42,6,48,0.125
