country,year_min,year_max,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
HUN,2011.0,2014.0,141,139,744,96,840,0.11428571428571428,0.10177477281264839
HUN,2014.0,2020.0,7100,6976,32916,3708,36624,0.10124508519003932,0.07791855850659477
IDN,2014.0,2024.0,12914,11785,74539,12971,87510,0.14822306022168896,0.14374943761960918
IDN,2019.0,2024.0,448,406,2724,654,3378,0.1936056838365897,0.19524998114224854
IND,2014.0,2024.0,6917,6842,43561,5509,49070,0.1122681883024251,0.08935290126948785
IND,2011.0,2024.0,23,10,49,7,56,0.125,0.21583333333333332
IRL,2023.0,2023.0,1,0,0,0,0,,
IRL,2021.0,2021.0,3,0,0,0,0,,
IRN,2021.0,2024.0,2679,2637,11055,614,11669,0.05261804781900763,0.041428598422391924
IRN,2013.0,2024.0,62277,60958,413519,23833,437352,0.05449386306682032,0.044498746160188445
IRQ,2019.0,2024.0,6256,5968,30121,3147,33268,0.09459540699771553,0.09125216003297702
ISL,2018.0,2024.0,582,439,2052,639,2691,0.23745819397993312,0.28957907960634915
ISR,1994.0,2024.0,1383,1235,5079,678,5757,0.11776967170401251,0.08592518127306839
ITA,2022.0,2024.0,717,505,1508,756,2264,0.3339222614840989,0.6080997902005754
ITA,2013.0,2024.0,301,213,1052,175,1227,0.1426242868785656,0.1460339359158746
JAM,2016.0,2024.0,827,706,3543,605,4148,0.14585342333654774,0.13492092185223328
JAM,2016.0,2024.0,116,91,313,125,438,0.2853881278538813,0.2709504510529858
JOR,2021.0,2024.0,159,118,534,103,637,0.16169544740973313,0.2139190653148779
JPN,1998.0,2011.0,39,6,16,2,18,0.1111111111111111,0.13888888888888887
JPN,2022.0,2024.0,7551,7549,64261,9099,73360,0.12403217011995638,0.12154927263772229
JPN,2013.0,2016.0,506,495,2727,283,3010,0.09401993355481728,0.10058859568780763
JPN,2017.0,2023.0,2107,2040,9787,1174,10961,0.10710701578323145,0.10452826625819933
KAZ,2012.0,2024.0,5625,5498,43836,6122,49958,0.12254293606629568,0.10096291252371754
KAZ,2017.0,2020.0,200,195,994,220,1214,0.1812191103789127,0.1422971870519682
KEN,2024.0,2024.0,35,34,239,70,309,0.22653721682847897,0.18716965464370308
KEN,2022.0,2024.0,126,124,1245,211,1456,0.14491758241758243,0.13907939441782674
KGZ,2020.0,2024.0,20728,19133,121739,20909,142648,0.14657758959116146,0.12070031215696439
KGZ,2018.0,2024.0,29691,26808,144832,27890,172722,0.16147335023911255,0.14224923949108323
KHM,2017.0,2024.0,30794,28360,231404,46961,278365,0.1687029619384621,0.15328963399511356
KHM,2016.0,2024.0,11135,10951,82998,15570,98568,0.15796201607012417,0.15538006023096265
KNA,2021.0,2021.0,1,0,0,0,0,,
KOR,2016.0,2024.0,1634,1528,6689,1548,8237,0.18793249969649145,0.243620170887252
KOR,2013.0,2024.0,7407,6815,39452,7202,46654,0.15437047198525314,0.16047296061502647
KWT,2023.0,2024.0,291,289,1441,294,1735,0.16945244956772335,0.1217112587854638
LBR,2009.0,2024.0,1740,1545,3600,736,4336,0.16974169741697417,0.27151123428401075
LKA,2015.0,2024.0,82,81,406,83,489,0.16973415132924335,0.17967229554920186
LSO,2023.0,2024.0,116,102,547,113,660,0.1712121212121212,0.15254837902238194
LTU,2020.0,2024.0,811,640,1756,888,2644,0.3358547655068079,0.5276787569551121
LUX,2018.0,2024.0,1364,1319,8842,1840,10682,0.17225238719340946,0.17116212847863566
LVA,2015.0,2024.0,2124,1856,8151,2777,10928,0.2541178623718887,0.2429156828095253
LVA,2016.0,2024.0,682,500,2127,479,2606,0.18380660015349193,0.2341985098291129
MAR,2020.0,2024.0,2321,2016,5321,659,5980,0.11020066889632107,0.09052045861838035
MDA,2014.0,2024.0,27556,25891,115462,29971,145433,0.20608115077045788,0.2209004160824383
MDA,2019.0,2024.0,416,385,1377,322,1699,0.18952324896998235,0.18435410075965342
MDG,,,0,0,0,0,0,,
MDG,2021.0,2024.0,468,396,2726,645,3371,0.19133788193414417,0.19362006750990646
MDV,2009.0,2024.0,15071,14616,72246,13644,85890,0.15885434858539993,0.13930191224854618
MDV,2010.0,2024.0,708,672,2350,565,2915,0.19382504288164665,0.23268495286615037
MEX,2015.0,2024.0,17549,12371,68957,19644,88601,0.22171307321587794,0.21483126798540436
MEX,2018.0,2024.0,2060,1875,8448,1647,10095,0.16315007429420506,0.13968992499989405
MKD,2019.0,2024.0,1571,1551,6914,1842,8756,0.2103700319780722,0.19979911888325463
MNE,2012.0,2024.0,4657,4139,24393,6503,30896,0.21048032107716208,0.2121890218091556
MNG,2015.0,2024.0,1769,1512,6978,2178,9156,0.23787680209698558,0.2190436304349159
MOZ,2024.0,2024.0,55,45,252,27,279,0.0967741935483871,0.09299707917354975
MRT,2019.0,2024.0,741,722,5489,479,5968,0.08026139410187667,0.08058863107168039
MRT,2022.0,2023.0,389,326,1513,224,1737,0.128957973517559,0.12123481745008269
MYS,2021.0,2023.0,6,0,0,0,0,,
NER,2021.0,2024.0,29,29,200,30,230,0.13043478260869565,0.13635192844117794
NGA,2022.0,2024.0,371,364,1494,323,1817,0.17776554760594387,0.1545547671006918
NLD,2012.0,2024.0,488,387,1768,591,2359,0.25052988554472233,0.3158491545544481
NLD,2012.0,2024.0,419,343,1553,534,2087,0.2558696693818879,0.316773377920694
NLD,2011.0,2024.0,846,641,2707,777,3484,0.2230195177956372,0.2513411490113794
NOR,2021.0,2024.0,478,418,1745,408,2153,0.18950301904319555,0.19091752634079726
NPL,2016.0,2024.0,171,77,496,90,586,0.15358361774744028,0.1502594781209368
NZL,2002.0,2024.0,486,301,963,188,1151,0.1633362293657689,0.17463321101194856
NZL,2016.0,2024.0,64,52,192,72,264,0.2727272727272727,0.3165370897658347
OMN,2020.0,2024.0,2626,2540,13802,2433,16235,0.1498614105327995,0.13039621415130684
PAK,2023.0,2024.0,11,11,82,7,89,0.07865168539325842,0.07196969696969696
PAN,2010.0,2024.0,17794,16393,82378,38379,120757,0.31782008496401865,0.33988890818557416
PER,2017.0,2024.0,34681,31415,177065,68416,245481,0.2787018139896774,0.2812815805809216
PHL,1950.0,2024.0,12201,11816,95687,39618,135305,0.29280514393407486,0.29122678404506575
PHL,2015.0,2024.0,5395,4750,25659,5174,30833,0.16780721953750852,0.13799741681689243
POL,2001.0,2024.0,4335,4130,20449,4195,24644,0.17022398961207597,0.13620939397259563
POL,2021.0,2024.0,3696,3631,22640,4402,27042,0.1627838177649582,0.13265722665337723
PRK,2017.0,2019.0,2906,2385,13139,1545,14684,0.10521656224461999,0.09890869034345728
PRT,2016.0,2024.0,665,601,3125,619,3744,0.16533119658119658,0.17136008908890749
PRY,2019.0,2023.0,1750,1570,8326,2599,10925,0.23789473684210527,0.23168292382473252
PSE,2019.0,2024.0,221,176,586,97,683,0.14202049780380674,0.12506467648513103
QAT,2012.0,2024.0,7734,7518,27128,5836,32964,0.1770416211624803,0.17652762049375942
ROU,2012.0,2024.0,8841,8095,42542,5547,48089,0.1153486244255443,0.10542427509754837
RUS,1999.0,2024.0,48904,48272,261361,27211,288572,0.09429535783097459,0.07570202681740064
RUS,2006.0,2024.0,51,51,213,24,237,0.10126582278481013,0.19946941030532364
RWA,2017.0,2024.0,376,313,2322,323,2645,0.12211720226843101,0.10633099011900762
RWA,2019.0,2024.0,426,405,2087,295,2382,0.12384550797649034,0.11248053839059807
SAU,2023.0,2024.0,29,29,170,20,190,0.10526315789473684,0.10156677613574165
SGP,2007.0,2024.0,3365,3305,13470,2517,15987,0.1574404203415275,0.14662730903201845
SLE,2022.0,2024.0,722,711,4743,998,5741,0.1738373105730709,0.1580329127454289
SLV,2022.0,2022.0,1,1,4,1,5,0.2,0.2
SLV,2019.0,2024.0,22064,20632,94114,53801,147915,0.3637291687793665,0.40807476361561634
SOM,2015.0,2024.0,882,845,4565,561,5126,0.10944206008583691,0.1157240624760364
