country,female_ratio
AGO,0.22315403903201184
ALB,0.241278404000117
AND,0.21899324312235455
ARE,0.0
ARG,0.1553711562290834
ARM,0.1078001501976248
AUS,0.3487838853220962
AUT,0.2736766834849522
AZE,0.08099590255496095
BDI,0.1522635042373246
BEL,0.4107142857142857
BEN,0.20364263289008075
BFA,0.16406522578683377
BGR,0.2569038879783116
BHR,0.21477767255106195
BHS,0.21407373700016405
BIH,0.19340798950802185
BLR,0.11922109211780568
BLZ,0.18907931141508189
BOL,0.18908519838620327
BRA,0.1445291000704457
BRN,0.13652663764441997
BTN,0.15743483567301478
CAN,0.12388945726025892
CHE,0.1526456054562796
CHL,0.25281242906275214
CHN,0.058752809690309694
CIV,0.14274179664281575
COD,0.1697698267693541
COL,0.2997140316417056
COM,0.09323802573290431
CPV,0.1832592653725122
CUB,0.16784788015682667
CYP,0.14634744536280042
CZE,0.11463237835782182
DEU,0.11311959983361035
DJI,0.11001376472504704
DNK,0.2332641895141895
DOM,0.22015844114577693
DZA,0.07410314622622557
ECU,0.17634261747944752
EGY,0.06907604758588323
ESP,0.15542598346600747
EST,0.20976002013309758
FIN,0.36836328306156807
FJI,0.20902052807721674
FRA,0.2114047292309583
GAB,0.13712118768712628
GBR,0.22484918842513846
GEO,0.08862412029485978
GHA,0.3183321199251275
GMB,0.22073886865075346
GNQ,0.16746381023347634
GRC,0.0660577776604696
GTM,0.19641104218269198
GUY,0.1630534925436979
HRV,0.17102458210731342
HUN,0.07940238104801403
IDN,0.14546457343046895
IND,0.08953749034138488
IRL,0.5
IRN,0.04436751132819468
IRQ,0.09125216003297702
ISL,0.28957907960634915
ISR,0.08592518127306839
ITA,0.4710245437345012
JAM,0.1504525243080281
JOR,0.2155690822661959
JPN,0.11708997130898814
KAZ,0.10237871851932775
KEN,0.14942793142845837
KGZ,0.1332747803656028
KHM,0.1538719711961205
KOR,0.1757011683695465
KWT,0.1217112587854638
LBR,0.27151123428401075
LKA,0.17967229554920186
LSO,0.15254837902238194
LTU,0.5276787569551121
LUX,0.17116212847863566
LVA,0.24106568854373317
MAR,0.09052045861838035
MDA,0.22036238024037225
MDG,0.24723359461513875
MDV,0.1434066612866826
MEX,0.20494147308874344
MKD,0.19979911888325463
MNE,0.2121890218091556
MNG,0.2190436304349159
MOZ,0.09299707917354975
MRT,0.09212978480266706
NER,0.14424135072924
NGA,0.1545547671006918
NLD,0.2859201808575227
NOR,0.19091752634079726
NPL,0.1502594781209368
NZL,0.1955368985337675
OMN,0.13039621415130684
PAK,0.07196969696969696
PAN,0.33988890818557416
PER,0.2812815805809216
PHL,0.25170245094438093
POL,0.13454750510053248
PRK,0.09890869034345728
PRT,0.17136008908890749
PRY,0.23168292382473252
PSE,0.12506467648513103
QAT,0.17652762049375942
ROU,0.10542427509754837
RUS,0.07583265067266384
RWA,0.10979974645604682
SAU,0.10156677613574165
SGP,0.14662730903201845
SLE,0.1580329127454289
SLV,0.40806467905381644
SOM,0.1157240624760364
SRB,0.12098736037778718
SUR,0.21750457679076088
SVK,0.12101565543273575
SVN,0.22738774318022095
SWE,0.24427378098855176
SYC,0.15234871568380182
SYR,0.1359855768861224
TGO,0.10942798171900338
TJK,0.1127158699949044
TKM,0.12414843354207489
TLS,0.13993822765892136
TTO,0.14224528023316343
TUR,0.12303913398469521
TWN,0.2520181719185386
TZA,0.2043979698912875
UGA,0.20352618645979026
UKR,0.15410190621898698
URY,0.1900139116540123
USA,0.16461890261611725
UZB,0.0891508374847978
VCT,0.27743007979763373
VEN,0.19014076317761813
VNM,0.08506493506493507
WSM,0.25146438029476836
XKX,0.3424787953665992
YEM,0.12497096399535423
ZAF,0.08431843891402714
